ax,ay,az,gx,gy,gz,name,n
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,0
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,1
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,2
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,3
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
0,0,0,0,0,0,L,4
