SEGGER J-Link RTT Logger
Compiled Sep 27 2022 16:03:22
(c) 2016-2017 SEGGER Microcontroller GmbH, www.segger.com
         Solutions for real time microcontroller applications

Default logfile path: /Users/rbaron/Library/Application Support/SEGGER

------------------------------------------------------------ 

Device name. Default: NRF52 Target interface. Interface speed [kHz]. Default: 4000 kHz RTT Control Block address. Default: auto-detection RTT Channel name or index. Default: channel 1 Output file. Default: RTT_<ChannelName>_<Time>.log 
------------------------------------------------------------ 
Connected to:
  J-Link EDU Mini V1 compiled Mar 28 2023 17:01:59
  S/N: 801036382

Searching for RTT Control Block...OK.
3 up-channels found:
0: Terminal
1: 
2: 
Selected RTT Channel description: 
  Index: 0
  Name:  Terminal
  Size:  1024 bytes.

Output file: /dev/stdout

Getting RTT data from target. Press any key to quit.
------------------------------------------------------------ 

*** Booting Zephyr OS build v3.2.99-ncs2 ***
Initializing
I: LittleFS version 2.5, disk version 2.0
I: FS at flash-controller@4001e000:0x7a000 is 6 0x1000-byte blocks with 512 cycle
I: sizes: rd 16 ; pr 16 ; ca 64 ; la 32
I: /lfs mounted
Reading from to /lfs/0
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 0
Reading from to /lfs/1
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 1
Reading from to /lfs/2
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 2
Reading from to /lfs/3
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 3
Reading from to /lfs/4
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/srTransfer rate: 1.98 KB/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Still
Will get ready
Transfer rate: 53 Bytes/s Data written: 1.02 KB Moving
Will start to capture
Transfer rate: 70 Bytes/s Data written: 1.05 KB Transfer rate: 0 Bytes/s Data written: 1.05 KB Transfer rate: 0 Bytes/s Data written: 1.05 KB Still
Stopped capturing. Confirm?
Will process buffer

---BEGIN DUMP---
ax,ay,az,gx,gy,gz
-7539,-1992,16017,1015,-79,3326
-5426,-3695,19835,4523,-2729,5851
-5104,-7138,22294,2107,-3502,11081
-8144,-10124,18980,-3705,-3396,20112
-8106,-7741,12432,-5332,-4813,29987
-4392,-5646,11000,54,-6736,32762
285,-4615,10843,5127,-7117,32764
1889,-1774,9421,6801,-8305,32764
5386,-599,9808,9152,-10742,32764
9826,-1292,15869,9044,-12942,32332
11878,641,16721,3132,-10990,31867
10884,3696,14925,-1592,-8406,29335
12742,2737,15761,-1474,-7208,21625
14029,1137,18012,-1364,-5824,14076
12076,-1478,16642,-1474,-2671,7838
10210,-4055,16189,123,-626,2388
10269,-4681,16091,1779,-300,-1770
12130,-3163,16554,2583,-596,-5405
13506,-1472,16472,3061,248,-10001
14259,-774,16099,2888,1402,-15860
15254,-492,15881,2469,2352,-22276
17174,1837,15521,1960,2933,-29239
15291,3566,10674,2245,2169,-32677
13763,-1591,10310,5838,62,-32764
15348,-4572,11840,3345,-6508,-32764
15305,-7527,18953,-657,-11908,-32764
10761,-12795,26434,-3875,-7566,-32764
205,-11709,20717,-6614,2357,-32764
-6296,-5661,12534,-829,4358,-32764
398,3331,11471,7208,-4422,-32764
2911,7647,12589,12873,-16138,-32764
4541,333,23062,16741,-17441,-32764
1869,-562,23751,4645,-8509,-31509
-3796,4212,8989,-12165,-365,-25294
-3083,3400,11515,-14939,-5733,-25168
-3078,-280,22776,-9783,-9758,-27394
-7178,-3543,20829,-5395,-4531,-26111
-9356,-3869,21337,-1851,-3662,-20418
-6938,-2395,20191,1313,-3129,-13723
-4893,895,19205,1762,-2092,-8185
-5571,2278,16796,-2006,-854,-5458
-6784,2804,14694,-4785,57,-3586
-6688,1294,16197,-4762,10,-1938
-8402,-360,17103,-5349,403,780
-10472,-4540,18590,-5087,2218,4701
-10522,-7414,18631,-7570,3483,12790
-9531,-8236,18693,-12593,3577,23974
-9762,-8628,15335,-17440,3762,31841
-11029,-5679,6664,-16663,1967,32764
-2834,-4941,3273,-4791,-2010,32764
20164,-4598,19372,7307,-4744,32764
29149,2847,25620,3211,1026,32764
15713,5128,18760,-7627,7503,30515
6802,1787,13991,-8720,6045,22228
7774,613,18215,-5689,-387,16375
7568,-278,20540,-3222,-193,13390
4818,352,19132,-1756,2980,12214
3477,2477,17295,-622,2828,9723
1896,2434,16538,-97,1265,5735
1700,607,17934,-1092,-610,3166
2416,557,18171,-2436,-1047,3261
2819,1092,18146,-1392,-53,3130
2695,1383,18250,87,1001,1734
1158,1100,16752,249,1926,492
675,-114,16826,-54,966,-530
652,-214,16664,-42,-112,-687
-61,-376,16428,877,-278,-751
276,-79,16907,776,-693,-582
370,450,17020,144,-590,-399
-301,297,16242,116,-239,-1027
-223,-53,16524,526,-997,-1593
1458,-377,17834,612,-1361,-1423
256,258,16870,126,-223,-289
