SEGGER J-Link RTT Logger
Compiled Sep 27 2022 16:03:22
(c) 2016-2017 SEGGER Microcontroller GmbH, www.segger.com
         Solutions for real time microcontroller applications

Default logfile path: /Users/rbaron/Library/Application Support/SEGGER

------------------------------------------------------------ 

Device name. Default: NRF52 Target interface. Interface speed [kHz]. Default: 4000 kHz RTT Control Block address. Default: auto-detection RTT Channel name or index. Default: channel 1 Output file. Default: RTT_<ChannelName>_<Time>.log 
------------------------------------------------------------ 
Connected to:
  J-Link EDU Mini V1 compiled Mar 28 2023 17:01:59
  S/N: 801036382

Searching for RTT Control Block...OK.
3 up-channels found:
0: Terminal
1: 
2: 
Selected RTT Channel description: 
  Index: 0
  Name:  Terminal
  Size:  1024 bytes.

Output file: /dev/stdout

Getting RTT data from target. Press any key to quit.
------------------------------------------------------------ 

*** Booting Zephyr OS build v3.2.99-ncs2 ***
Initializing
I: LittleFS version 2.5, disk version 2.0
I: FS at flash-controller@4001e000:0x7a000 is 6 0x1000-byte blocks with 512 cycle
I: sizes: rd 16 ; pr 16 ; ca 64 ; la 32
I: /lfs mounted
Reading from to /lfs/0
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 0
Reading from to /lfs/1
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 1
Reading from to /lfs/2
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 2
Reading from to /lfs/3
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/src/signal_store.c:42
I: no signal on slot 3
Reading from to /lfs/4
E: file open error (-2)
E: Error -2:  in /Users/rbaron/dev/electronics/spellcaster/code/sclib/srTransfer rate: 1.99 KB/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Transfer rate: 0 Bytes/s Data written: 1023 Bytes Still
Will get ready
Transfer rate: 54 Bytes/s Data written: 1.02 KB Moving
Will start to capture
Transfer rate: 69 Bytes/s Data written: 1.05 KB Transfer rate: 0 Bytes/s Data written: 1.05 KB Transfer rate: 0 Bytes/s Data written: 1.05 KB Transfer rate: 0 Bytes/s Data written: 1.05 KB Still
Stopped capturing. Confirm?
Will process buffer

---BEGIN DUMP---
ax,ay,az,gx,gy,gz
-3112,1140,21069,375,-868,-13
-5091,1157,22051,191,-237,4
-6424,186,23424,947,332,401
-7556,-268,25015,1527,979,1559
-8592,-513,24943,1574,2350,2667
-8618,-1281,22408,1723,3042,3162
-8131,-2133,22354,3395,2110,3415
-6149,-2911,20827,4613,1228,3564
-3813,-2327,18548,5570,167,4173
-1688,-1687,16450,6730,-532,4660
1310,-2128,12857,7327,-582,4802
3681,-1519,10630,9063,-375,5924
4941,-364,11235,10345,-519,7117
6347,-781,10504,9226,-501,7461
7122,-213,9600,7192,-634,8288
9104,541,11815,6242,-499,8722
12198,1179,12479,3677,-467,7826
14387,2187,12131,2331,-702,5986
15921,2698,15052,4400,-1767,3627
15668,2390,17285,5536,-2501,1134
13296,1924,15652,4889,-1387,-1082
11906,2731,15552,3637,-903,-3056
10106,3531,16492,2818,-500,-5200
8784,2377,14504,1829,110,-7670
4430,4812,16026,1891,-164,-9057
3010,3097,13927,1144,346,-12658
-122,1210,14465,1869,-226,-13811
-4103,2138,13674,454,-1256,-13601
-6262,782,15054,274,-1043,-13791
-8998,944,15264,-1650,-982,-12630
-11036,762,12861,-3890,-579,-11654
-12029,-289,11373,-3872,-770,-10617
-13048,-57,12108,-3909,-1863,-8563
-14795,559,12453,-4040,-2216,-6412
-15666,-424,13127,-4061,-2166,-4981
-15789,-2366,13221,-4258,-1439,-3251
-15522,-3380,10752,-5105,-601,-640
-14279,-3038,9190,-5173,-736,2181
-11816,-2603,9239,-4563,-1756,4621
-8655,-1839,11100,-3912,-2731,6661
-5300,-1420,13263,-3985,-2633,8162
-2580,-1265,14485,-4890,-1525,8757
-1325,-1551,13970,-5821,-400,8062
256,-2061,15221,-6156,-1974,7237
3794,-2387,20729,-4857,-4160,6677
7746,-1232,24891,-4228,-3833,6997
10894,223,25830,-5652,-1881,7444
13300,123,24915,-7297,-97,7786
13386,2280,23035,-7871,-209,9050
12764,4275,23512,-5941,-1334,8709
13576,4565,24304,-2536,-1575,5998
14253,3769,25067,-142,-674,3212
13451,3397,23023,-124,1030,1282
11866,2920,19568,-456,1983,-466
10517,2198,18098,1063,1347,-2550
9016,1616,18875,2487,-560,-4959
8669,-1106,19348,3226,-1755,-7749
7420,-2274,18504,3521,-1664,-8950
6377,-2705,17332,2555,-1536,-9391
5244,-3218,16669,1882,-1722,-10011
3410,-3207,17057,2362,-1977,-10509
560,-2908,17125,2339,-1678,-11163
-1017,-2599,15590,1401,-1609,-11854
-2302,-2649,15571,678,-2519,-11957
-3949,-3302,16040,-154,-3497,-11640
-6202,-3316,17793,-309,-3821,-10187
-7689,-3223,18646,-767,-2779,-8485
-8717,-2678,18858,-1036,-1311,-6798
-8745,-1398,18700,-1225,-977,-5078
-9065,-79,19088,-1005,-1253,-3563
-9286,-503,18944,-1183,-912,-2656
-9719,-946,18465,-1342,-344,-1189
-10510,-739,19252,-1251,141,771
-9750,-580,20765,-1561,600,2470
-8858,251,20802,-1619,1186,4286
-8189,388,20927,-858,1434,5540
-6441,-681,21760,-273,1302,6268
-4842,-120,23114,-331,1303,7537
-2894,2,21581,-1188,1912,8137
-786,286,20416,-1742,1808,8203
1660,576,22481,-1505,1167,7685
3044,-723,21367,-1887,1982,6215
4873,-2998,16876,-2341,2531,4868
5446,-3774,13945,-332,1622,5219
4893,-3451,14360,3690,786,5933
6012,-2758,15227,3960,-43,6002
6122,-1263,13705,1771,806,5744
4947,-1366,11063,1121,2146,4829
4281,-1745,9238,1505,1579,3677
4032,-1918,9921,3219,36,2868
3869,-2337,11073,4551,-700,2200
3381,-1700,12689,2852,-1144,2061
3156,-1080,14057,1206,-644,1973
3011,-365,14688,-607,197,1500
2723,-449,16313,-1368,805,812
2133,-187,15090,-1831,1332,321
1092,-169,15587,-1656,758,-194
764,-1469,19836,44,733,-513
506,-1350,17993,-908,2139,-48
60,-207,15978,-1344,2500,386
-386,967,15267,-729,1599,67
-877,867,16200,-231,324,-954
-812,-583,17222,1113,-28,-1730
-934,-793,18550,1027,165,-1304
-904,-85,17348,-805,669,-730
-905,-293,16985,-931,1008,-720
-1121,-717,16842,-824,780,-774
-1503,-724,16258,-680,532,-694
-1461,-1059,16558,-274,148,-630
-1216,-676,16594,-173,-326,-342
-806,-704,17761,253,-295,-151
-1005,-468,16866,-16,233,35
-1012,-231,16548,264,170,94
-919,-116,16641,643,-208,-60
-944,-329,17117,533,-496,-299
-840,-612,17386,755,-507,-319
-681,-364,17101,674,-495,-130
-995,-18,17090,527,-651,-119
-1105,-552,16657,678,-712,-426
-1141,-683,17426,726,-927,-336
-1046,-639,17064,336,-689,-79
-819,-192,16377,100,-676,109
-659,147,17118,-30,-990,59
-782,-160,17232,109,-763,-222

---END DUMP---
Transfer rate: 8.75 KB/s Data written: 5.43 KB Transfer rate: 0 Bytes/s Data written: 5.43 KB Transfer rate: 0 Bytes/s Data written: 5.43 KB Transfer rate: 0 Bytes/s Data written: 5.43 KB Transfer rate: 0 Bytes/s Data written: 5.43 KB Will get ready
Transfer rate: 35 Bytes/s Data written: 5.45 KB Moving
Will start to capture
Transfer rate: 69 Bytes/s Data written: 5.49 KB Transfer rate: 0 Bytes/s Data written: 5.49 KB Transfer rate: 0 Bytes/s Data written: 5.49 KB Transfer rate: 0 Bytes/s Data written: 5.49 KB Still
Stopped capturing. Confirm?
Will process buffer

---BEGIN DUMP---
ax,ay,az,gx,gy,gz
-7398,2381,25676,-1362,689,2868
-9079,2167,25566,-1204,1169,3323
-10027,756,25051,-1454,604,3588
-9207,-2534,23768,-568,-364,3422
-6177,-4312,20253,2166,-1015,4170
-3557,-3087,17099,5328,-1327,5976
-1099,-1171,14585,5833,-2009,6954
1658,-808,13382,5536,-1856,6600
3993,-2559,10500,4884,-1144,6030
6050,-3252,7798,4847,-1051,6568
8886,-2923,9777,5164,-1886,7642
11146,-1767,11169,4550,-1621,8472
12190,-240,10937,3556,-458,7888
13958,155,11760,3173,-681,5563
15076,733,13109,3168,-1575,2872
15440,1315,13316,3261,-1915,118
15401,1224,13119,3686,-1651,-2574
13701,1363,14276,4466,-839,-4321
11724,1113,16300,3783,156,-5574
8366,2581,15148,1440,1807,-6496
5013,3117,11839,-415,2180,-8286
1664,3007,13739,184,527,-10390
-866,795,14657,911,195,-12508
-4096,-856,14819,1245,449,-12663
-7446,-874,13849,-278,-253,-11313
-9862,341,14231,-1720,-1416,-10104
-10776,-395,13990,-2538,-1560,-9579
-12363,-754,13445,-2617,-1386,-8125
-13737,-1372,12857,-2432,-1025,-6066
-13496,-2362,12290,-2368,-660,-3849
-12456,-1483,12716,-2680,-1255,-1104
-12116,205,12628,-2915,-1853,1074
-11339,-591,11316,-2681,-1835,1743
-11213,-2181,10498,-1942,-1916,2414
-10939,-4107,12045,-1016,-2183,3765
-10062,-5448,11389,-1186,-1507,5897
-7900,-6443,11402,-2077,-1213,7984
-3882,-6006,14950,-3755,-1599,10053
2308,-4831,17950,-5895,-713,12064
5829,-1547,20315,-7320,37,14096
8110,696,20469,-8207,325,13432
11702,1072,20627,-7623,-646,10643
15033,1816,24458,-5407,-2801,8673
18042,3070,29313,-4235,-2871,7255
17354,4516,27794,-4452,386,6133
15397,5067,23651,-3620,3021,3545
14525,4117,21878,-1848,2533,-199
13694,2374,21886,-597,1426,-3796
12302,-507,20262,-830,1377,-6652
9640,-2554,18058,-1261,1138,-8268
7513,-4018,16002,-1059,370,-9368
5991,-4622,14366,-317,-411,-10258
5383,-3973,14124,-350,-2332,-11143
5056,-4670,17283,232,-3489,-12506
2275,-4730,17856,-815,-3201,-12758
-1526,-4796,17758,-2332,-2515,-12424
-5012,-4449,18205,-3000,-2255,-11776
-6298,-4983,19451,-2936,-2145,-11137
-7052,-4723,20250,-2569,-1764,-9752
-8518,-3753,20825,-1903,-1528,-7985
-9654,-4227,20838,10,-1199,-6536
-10381,-3298,22073,1284,-1416,-4345
-9302,-2068,24024,836,-1347,-2404
-9494,-2057,21664,153,253,-1006
-9612,-2428,19786,312,653,446
-8806,-2176,21716,821,64,2370
-6827,-2307,22806,-10,704,4096
-5311,-1969,20364,-1122,2222,5582
-3732,-1561,18614,-1308,1950,6420
-1646,-1564,19304,-996,549,6506
311,-1771,19156,-1283,-353,6120
2004,-2698,18760,-647,-375,5549
3599,-2960,17227,7,-388,5070
5263,-3538,17247,1048,-236,4555
7113,-4303,16677,1100,440,4445
6300,-3976,14219,2425,2850,5387
3787,-2440,12794,3709,2717,6023
3385,-2529,13302,4267,1173,4826
3218,-3109,13508,4503,762,3651
2042,-2770,11259,4216,878,3241
1745,-2787,12293,5147,-174,2915
2587,-2353,15055,4779,-782,2822
3073,-1121,13849,2041,-130,2709
2939,-846,12285,467,178,2061
3025,-807,12973,815,-663,1373
2768,-1099,14940,1979,-836,763
2225,-1379,15459,1808,-8,393
1426,-1091,13936,436,631,360
1748,-558,15059,-413,108,210
988,-168,16834,-700,58,35
739,-1140,16346,-375,823,-637
354,-1398,17001,477,845,-645
113,-1086,16694,356,816,-529
-139,-601,16084,519,766,-513
-570,-474,16105,814,377,-674
