ax,ay,az,gx,gy,gz,name,n,initial_row_angle
2298,-1590,22614,-515,-129,346,L,0,0.1010928750038147
4216,-2383,27607,984,-575,303,L,0,0.1010928750038147
4625,-3821,32230,3382,-1053,-159,L,0,0.1010928750038147
4458,-6428,32280,7141,-1516,-684,L,0,0.1010928750038147
4845,-9172,26021,11304,-1662,-1151,L,0,0.1010928750038147
3383,-10821,16261,14131,-1903,-1872,L,0,0.1010928750038147
2931,-9499,6159,15244,-2685,-2495,L,0,0.1010928750038147
3408,-7905,974,14503,-2824,-3081,L,0,0.1010928750038147
3345,-5951,-1808,12968,-2632,-3794,L,0,0.1010928750038147
654,-4554,-2851,11330,-1604,-4483,L,0,0.1010928750038147
-2286,-3581,-4154,9974,-758,-4518,L,0,0.1010928750038147
-5118,-2384,-7164,8822,-723,-3943,L,0,0.1010928750038147
-6989,-1407,-10914,7323,-873,-2801,L,0,0.1010928750038147
-6328,-272,-13018,5134,-1467,-1260,L,0,0.1010928750038147
-3111,206,-11768,2391,-1277,22,L,0,0.1010928750038147
-850,189,-9527,3,71,347,L,0,0.1010928750038147
-1245,158,-8038,-1675,1159,-37,L,0,0.1010928750038147
-2716,-195,-7510,-2877,1721,-329,L,0,0.1010928750038147
-3710,-445,-6789,-3964,1491,-151,L,0,0.1010928750038147
-4098,-892,-4955,-4957,1153,325,L,0,0.1010928750038147
-4228,-1258,-4239,-5607,789,897,L,0,0.1010928750038147
-3665,-1921,-4466,-6294,652,1543,L,0,0.1010928750038147
-3040,-2724,-4177,-7466,907,2145,L,0,0.1010928750038147
-2592,-3801,-1852,-9007,1262,2619,L,0,0.1010928750038147
-1315,-5136,81,-10412,1818,3089,L,0,0.1010928750038147
-75,-7223,2991,-11801,1993,3265,L,0,0.1010928750038147
-1689,-8396,9415,-13052,1152,3055,L,0,0.1010928750038147
-190,-7357,21468,-13465,-175,3561,L,0,0.1010928750038147
5238,-5589,31050,-11619,-1012,4146,L,0,0.1010928750038147
3321,-3480,31400,-8022,-1015,3383,L,0,0.1010928750038147
-1559,-2528,28200,-4789,-844,3126,L,0,0.1010928750038147
1002,-1756,24509,-2372,-1024,4478,L,0,0.1010928750038147
12985,-965,22117,-691,6,5661,L,0,0.1010928750038147
19636,5,16964,594,1788,3980,L,0,0.1010928750038147
15483,250,12741,1005,3181,428,L,0,0.1010928750038147
11572,581,13152,854,3124,-2100,L,0,0.1010928750038147
16609,658,13600,1190,2133,-3480,L,0,0.1010928750038147
24653,-1431,10659,1928,2059,-5910,L,0,0.1010928750038147
23596,-7015,6424,2463,3183,-10299,L,0,0.1010928750038147
12302,-11746,2283,2682,2665,-14759,L,0,0.1010928750038147
3927,-12413,2371,1840,701,-16645,L,0,0.1010928750038147
911,-12768,4781,735,-194,-16407,L,0,0.1010928750038147
-3921,-13466,4737,233,500,-15856,L,0,0.1010928750038147
-14912,-11709,3350,-21,3166,-14790,L,0,0.1010928750038147
-22472,-7948,3397,-354,3810,-11532,L,0,0.1010928750038147
-18100,-5990,6138,-874,1849,-6535,L,0,0.1010928750038147
-9665,-5980,8851,-873,474,-2850,L,0,0.1010928750038147
-9010,-6099,8148,-231,358,-1629,L,0,0.1010928750038147
-11951,-6103,7005,182,309,-758,L,0,0.1010928750038147
-13894,-6527,7908,224,-66,805,L,0,0.1010928750038147
-15740,-6963,8285,460,-323,2837,L,0,0.1010928750038147
-15650,-7927,6603,738,-613,5262,L,0,0.1010928750038147
-13846,-8717,4941,594,-1460,7581,L,0,0.1010928750038147
-12013,-9990,4986,126,-1811,9600,L,0,0.1010928750038147
-11249,-11536,4822,-354,-1721,11392,L,0,0.1010928750038147
-6352,-12391,5121,-811,-2134,13203,L,0,0.1010928750038147
4646,-11428,7820,-1188,-2390,14519,L,0,0.1010928750038147
14056,-8045,8618,-813,-3110,13583,L,0,0.1010928750038147
15840,-3669,7821,-197,-3648,10485,L,0,0.1010928750038147
18045,-736,7376,19,-3095,7413,L,0,0.1010928750038147
19452,921,5866,-80,-1834,4300,L,0,0.1010928750038147
11932,1353,7698,-636,-309,909,L,0,0.1010928750038147
3003,1340,9229,-857,687,-785,L,0,0.1010928750038147
21619,-2856,6087,51,-2377,545,L,1,-1.012671709060669
29503,-3947,6941,382,-2860,-1164,L,1,-1.012671709060669
32724,-5650,8876,860,-2872,-4535,L,1,-1.012671709060669
32243,-10256,8001,1623,-3850,-9420,L,1,-1.012671709060669
24221,-13616,3635,2671,-2838,-14847,L,1,-1.012671709060669
11090,-14945,-1265,3156,-2049,-18659,L,1,-1.012671709060669
1642,-12423,-2062,2451,-2485,-19563,L,1,-1.012671709060669
-4651,-9120,-1920,1025,-4504,-18222,L,1,-1.012671709060669
-8302,-5852,-668,-461,-4198,-15570,L,1,-1.012671709060669
-9666,-3265,787,-1226,-2136,-12488,L,1,-1.012671709060669
-9884,-1829,1611,-1253,-1108,-9607,L,1,-1.012671709060669
-9920,-1090,2124,-1022,-657,-7308,L,1,-1.012671709060669
-10769,-353,2089,-607,-626,-5467,L,1,-1.012671709060669
-11433,181,2155,-264,-779,-3513,L,1,-1.012671709060669
-11039,413,2246,1,-851,-1301,L,1,-1.012671709060669
-10599,193,1697,204,-442,935,L,1,-1.012671709060669
-9717,-133,1300,183,1039,3068,L,1,-1.012671709060669
-7771,-767,1212,1,2075,4907,L,1,-1.012671709060669
-7120,-1217,1166,-209,2361,6238,L,1,-1.012671709060669
-8359,-2138,1381,-404,2803,7613,L,1,-1.012671709060669
-8587,-3657,1730,-612,2813,9731,L,1,-1.012671709060669
-6172,-5638,2340,-722,2124,12369,L,1,-1.012671709060669
-2503,-7682,2970,-448,1340,14749,L,1,-1.012671709060669
3552,-9545,3255,203,1461,16381,L,1,-1.012671709060669
13320,-10421,2909,773,679,16448,L,1,-1.012671709060669
23349,-8665,2915,768,-891,14523,L,1,-1.012671709060669
28185,-5431,2431,735,-2287,11283,L,1,-1.012671709060669
29861,-3650,1463,804,-855,8134,L,1,-1.012671709060669
26660,-2511,3188,475,2496,5219,L,1,-1.012671709060669
19803,-1874,5784,395,3745,2828,L,1,-1.012671709060669
15186,-1214,4716,1036,2391,1662,L,1,-1.012671709060669
14003,-690,1557,1546,675,1292,L,1,-1.012671709060669
12740,-505,1498,1309,191,910,L,1,-1.012671709060669
11197,-313,3054,1117,436,605,L,1,-1.012671709060669
11166,-97,1558,1484,1091,584,L,1,-1.012671709060669
12926,124,-2407,1680,2100,519,L,1,-1.012671709060669
15329,344,-8309,1097,2738,-53,L,1,-1.012671709060669
17655,43,-15053,-745,2487,-1351,L,1,-1.012671709060669
18372,-2791,-17539,-4048,2412,-3294,L,1,-1.012671709060669
14402,-6168,-11352,-7986,3098,-5646,L,1,-1.012671709060669
9844,-8607,-5088,-10499,3450,-7471,L,1,-1.012671709060669
5850,-10837,-16,-11561,2156,-8709,L,1,-1.012671709060669
54,-10005,3802,-11841,1739,-8876,L,1,-1.012671709060669
-1772,-7610,7149,-11233,1759,-7308,L,1,-1.012671709060669
946,-6444,7604,-9797,715,-5198,L,1,-1.012671709060669
3237,-7095,9037,-8682,581,-4041,L,1,-1.012671709060669
1211,-6408,13420,-7783,2000,-3868,L,1,-1.012671709060669
-1807,-4513,16199,-6032,2854,-3279,L,1,-1.012671709060669
-1108,-3684,15158,-3434,1248,-1687,L,1,-1.012671709060669
2202,-3784,11851,-1096,-534,-75,L,1,-1.012671709060669
4490,-3900,9370,255,-1002,578,L,1,-1.012671709060669
4613,-3929,8254,831,-872,522,L,1,-1.012671709060669
3212,-4019,8672,1112,-711,485,L,1,-1.012671709060669
2163,-4272,10957,1615,-382,1011,L,1,-1.012671709060669
2006,-4880,13853,2714,-138,1914,L,1,-1.012671709060669
855,-6218,16252,4517,-75,2799,L,1,-1.012671709060669
-1102,-7756,15831,6858,21,3894,L,1,-1.012671709060669
-1992,-9326,12572,8998,-177,5379,L,1,-1.012671709060669
464,-10495,7826,10382,-993,7165,L,1,-1.012671709060669
8207,-10568,1273,11160,-1608,8593,L,1,-1.012671709060669
16738,-7647,-8726,10809,-1159,8287,L,1,-1.012671709060669
16675,-3182,-11487,7940,-1182,5718,L,1,-1.012671709060669
11382,-1365,-2402,4419,-1345,3368,L,1,-1.012671709060669
12644,-282,183,3449,-1181,2837,L,1,-1.012671709060669
16417,75,-5948,3301,-552,2238,L,1,-1.012671709060669
13059,314,-4131,1508,186,602,L,1,-1.012671709060669
8416,88,1864,-33,327,-430,L,1,-1.012671709060669
6847,124,5080,-171,65,-437,L,1,-1.012671709060669
14254,-5724,-15883,3538,-3172,2776,L,2,-2.097855806350708
18538,-7283,-24354,2715,-4440,1677,L,2,-2.097855806350708
19491,-8503,-28258,-109,-3100,-723,L,2,-2.097855806350708
16343,-9450,-26767,-3773,-308,-3578,L,2,-2.097855806350708
12747,-10730,-24441,-7227,499,-5599,L,2,-2.097855806350708
11427,-13012,-20394,-10622,297,-6590,L,2,-2.097855806350708
10878,-15205,-15603,-13669,819,-7847,L,2,-2.097855806350708
6437,-17474,-8377,-16111,2285,-10276,L,2,-2.097855806350708
822,-17354,-1981,-17314,2528,-12456,L,2,-2.097855806350708
-3053,-15698,3003,-17247,1992,-13058,L,2,-2.097855806350708
-5589,-13687,7604,-16363,-706,-12381,L,2,-2.097855806350708
-7895,-11373,12339,-15090,-4066,-10678,L,2,-2.097855806350708
-9829,-8255,17611,-12841,-5171,-8361,L,2,-2.097855806350708
-9444,-3795,20354,-9135,-5880,-5372,L,2,-2.097855806350708
-7228,-2415,15895,-4401,-6217,-2613,L,2,-2.097855806350708
-6804,-2147,14211,-457,-633,-432,L,2,-2.097855806350708
-6555,-2090,9276,2626,2051,1474,L,2,-2.097855806350708
-5193,-2775,7620,4382,3686,3345,L,2,-2.097855806350708
-3556,-3189,7039,5492,3224,4868,L,2,-2.097855806350708
-1828,-3701,7229,6594,2358,5834,L,2,-2.097855806350708
-933,-4246,6816,8007,2251,6295,L,2,-2.097855806350708
-910,-5255,5692,9615,2497,6721,L,2,-2.097855806350708
-1596,-6921,5248,11323,2788,7345,L,2,-2.097855806350708
-2497,-9911,4233,13191,3985,8656,L,2,-2.097855806350708
