ax,ay,az,gx,gy,gz,name,n
1340,-2263,25819,1287,-1419,146,L,0
687,-3203,31944,3544,-2598,-176,L,0
376,-5927,32764,7034,-3282,-358,L,0
3107,-8174,31047,11274,-3293,-426,L,0
4384,-10932,23654,15809,-1810,-853,L,0
4817,-13059,12991,19692,-1815,-1894,L,0
1463,-12509,1296,21582,-2120,-3385,L,0
-1469,-10369,-5702,20305,-3245,-4187,L,0
-3210,-8130,-10182,17365,-3487,-4190,L,0
-4615,-5255,-14383,13986,-3177,-3479,L,0
-4223,-2399,-17363,9808,-2287,-2122,L,0
-1852,-812,-15483,4868,-747,-786,L,0
-224,33,-11851,659,888,-362,L,0
-115,242,-8643,-2153,1920,-626,L,0
-1234,-37,-6005,-3583,2086,-1030,L,0
-2548,173,-5446,-3879,2375,-1159,L,0
-3484,140,-5147,-3939,2237,-882,L,0
-3670,491,-5684,-4187,1135,-299,L,0
-3154,478,-5497,-4965,1125,451,L,0
-1852,166,-5345,-6062,1283,1111,L,0
-589,-509,-4844,-7382,297,1424,L,0
-507,-1497,-5084,-8821,28,1429,L,0
-1493,-3249,-5192,-10831,606,1397,L,0
-2826,-5928,-1995,-13532,898,1531,L,0
-3705,-8315,3888,-15782,1426,1906,L,0
-2286,-9166,12789,-16974,237,2785,L,0
937,-8670,24200,-16171,-2673,3963,L,0
4095,-6761,30684,-12260,-5933,4512,L,0
4137,-3180,29773,-7222,-5408,4188,L,0
6826,-1722,25534,-3761,-2245,4406,L,0
10203,-1611,18632,-1641,1508,4272,L,0
8684,-778,13008,-775,4266,3235,L,0
8635,271,11382,-1165,4960,2555,L,0
13588,1235,16416,-2017,4210,1917,L,0
21080,1339,22204,-1088,3159,-53,L,0
26828,-235,19541,1955,1886,-4090,L,0
27887,-5956,13728,4484,1915,-9445,L,0
22536,-15037,4289,6291,3429,-15125,L,0
9965,-21595,-3640,6559,3092,-20152,L,0
-5973,-20914,-2205,3995,3724,-22718,L,0
-16889,-16459,3217,2040,4640,-20925,L,0
-21811,-13503,3140,2313,5165,-16148,L,0
-24299,-9701,-202,2328,3771,-10911,L,0
-19588,-6468,2371,821,1356,-5522,L,0
-8467,-4792,5599,-426,-319,-1345,L,0
-2406,-4547,8110,-587,-517,-244,L,0
-4574,-4938,8054,24,-326,-1074,L,0
-11963,-5175,6366,489,165,-1262,L,0
-15645,-5662,4935,283,-174,710,L,0
-15951,-6696,4270,-453,-1239,3763,L,0
-17776,-8855,4252,-1191,-1796,6907,L,0
-16912,-11601,2292,-1734,-1819,10523,L,0
-12244,-14379,2457,-2763,-2282,14004,L,0
-3731,-15216,6266,-3739,-3670,16580,L,0
7948,-12010,10972,-3644,-6323,17786,L,0
23272,-5282,11815,-1845,-7794,16813,L,0
32398,499,7587,276,-5213,11266,L,0
15060,1726,6773,495,-434,2314,L,0
-4102,1948,6801,43,1349,-1102,L,0
-4194,1050,6976,-305,1303,999,L,0
4799,1218,7570,-570,433,2797,L,0
6750,1462,7305,-665,411,2077,L,0
1778,-4199,32279,2944,-6472,716,L,1
6387,-8951,32575,7786,-6293,120,L,1
3123,-11099,23574,13998,-2360,-1639,L,1
172,-9050,13550,17584,305,-1885,L,1
4518,-7897,7160,18636,-1753,-1091,L,1
6338,-9160,2420,18918,-1342,-1360,L,1
4109,-8268,-4020,18457,-4930,-3659,L,1
-739,-6757,-6245,16234,-6338,-6604,L,1
-7919,-4857,-10930,13767,-4876,-7493,L,1
-11670,-1593,-16341,10169,-4704,-5522,L,1
-9020,130,-13634,5477,-1667,-2046,L,1
-4402,878,-9510,2053,1378,715,L,1
-1246,859,-7269,126,1389,1645,L,1
-373,1210,-7821,-964,1070,1355,L,1
-895,1086,-7512,-2133,1575,844,L,1
