ax,ay,az,gx,gy,gz,name,n,initial_row_angle
-5521,-732,23333,361,-3107,71,X,0,0.1842619925737381
-7598,-1486,30573,2402,-5102,811,X,0,0.1842619925737381
-6440,-2500,29381,5926,-6808,1948,X,0,0.1842619925737381
-4189,-5540,26750,9143,-8636,2821,X,0,0.1842619925737381
-2098,-8100,21457,12132,-8051,3175,X,0,0.1842619925737381
238,-9019,13651,14779,-3575,3794,X,0,0.1842619925737381
3353,-9794,6400,16353,-2156,4573,X,0,0.1842619925737381
7612,-6992,-3962,16117,-3639,4325,X,0,0.1842619925737381
9180,-4743,-7493,13317,-4211,2483,X,0,0.1842619925737381
5914,-3314,-7723,10225,-3097,195,X,0,0.1842619925737381
1743,-2287,-10275,8274,-1461,-960,X,0,0.1842619925737381
400,-1254,-13208,6444,-1079,-650,X,0,0.1842619925737381
1360,-449,-12431,3975,-1676,153,X,0,0.1842619925737381
3319,-194,-10508,1730,-1319,581,X,0,0.1842619925737381
4315,-290,-10215,85,71,321,X,0,0.1842619925737381
3666,-517,-10118,-1374,1147,-328,X,0,0.1842619925737381
2338,-942,-9568,-2760,1222,-838,X,0,0.1842619925737381
1249,-1419,-8215,-4017,1123,-998,X,0,0.1842619925737381
1122,-2176,-7161,-5097,1070,-852,X,0,0.1842619925737381
1783,-3116,-7445,-6110,1508,-655,X,0,0.1842619925737381
2184,-4283,-7796,-7435,2096,-657,X,0,0.1842619925737381
2242,-5774,-7778,-9179,2998,-836,X,0,0.1842619925737381
2869,-8116,-8620,-11259,4505,-1207,X,0,0.1842619925737381
3798,-12649,-9771,-13616,4772,-1890,X,0,0.1842619925737381
3826,-18715,-6298,-16875,3337,-2683,X,0,0.1842619925737381
3098,-24099,10601,-20905,4508,-3641,X,0,0.1842619925737381
-2885,-21445,32249,-21278,4974,-5192,X,0,0.1842619925737381
-12119,-11745,32764,-14260,3183,-5230,X,0,0.1842619925737381
-12517,-8646,32764,-6789,2850,-2572,X,0,0.1842619925737381
-4429,-7680,31939,-1558,989,390,X,0,0.1842619925737381
3681,-5592,25173,1066,-501,1562,X,0,0.1842619925737381
5982,-3691,25160,1422,676,837,X,0,0.1842619925737381
3158,-3771,27662,2154,3106,-317,X,0,0.1842619925737381
3561,-4519,29716,3924,3837,-459,X,0,0.1842619925737381
6557,-6089,29997,6431,3563,-498,X,0,0.1842619925737381
9189,-8475,27974,9317,3313,-1344,X,0,0.1842619925737381
8730,-10776,21479,12193,3649,-2826,X,0,0.1842619925737381
6768,-12202,12030,14270,3882,-4111,X,0,0.1842619925737381
5178,-10482,5225,14677,2958,-5022,X,0,0.1842619925737381
3546,-10152,3781,13933,3261,-5365,X,0,0.1842619925737381
215,-10088,2178,13784,2731,-5577,X,0,0.1842619925737381
-3589,-10175,-1437,14237,2680,-5415,X,0,0.1842619925737381
-5456,-9362,-7817,14591,2786,-4365,X,0,0.1842619925737381
-5282,-7417,-14808,13627,83,-3113,X,0,0.1842619925737381
-4862,-4736,-18961,10614,-1117,-2238,X,0,0.1842619925737381
-4747,-3272,-19793,6468,-170,-1592,X,0,0.1842619925737381
-5230,-2587,-17176,2527,412,-1285,X,0,0.1842619925737381
-5750,-2112,-13377,-303,333,-1108,X,0,0.1842619925737381
-5589,-1964,-10566,-2004,311,-825,X,0,0.1842619925737381
-5478,-2170,-8600,-3084,266,-602,X,0,0.1842619925737381
-6399,-2537,-7345,-3834,33,-531,X,0,0.1842619925737381
-7522,-3046,-6983,-4452,-250,-249,X,0,0.1842619925737381
-7910,-3801,-6401,-5223,-455,428,X,0,0.1842619925737381
-7397,-4971,-5829,-6054,-824,1361,X,0,0.1842619925737381
-6372,-6875,-7734,-6842,-1315,2332,X,0,0.1842619925737381
-5610,-10035,-11220,-8481,-1481,3140,X,0,0.1842619925737381
-6326,-14975,-11266,-11832,-473,3736,X,0,0.1842619925737381
-9164,-20595,-4209,-15942,188,4346,X,0,0.1842619925737381
-10630,-25161,7747,-19071,-324,5736,X,0,0.1842619925737381
-3620,-26400,22469,-20363,-1616,8258,X,0,0.1842619925737381
11113,-20760,32764,-19129,-1941,9939,X,0,0.1842619925737381
17721,-9756,32764,-13118,-2404,7735,X,0,0.1842619925737381
11946,-4529,32626,-6496,-3313,3795,X,0,0.1842619925737381
6389,-2438,26989,-3220,-2266,1628,X,0,0.1842619925737381
5713,-953,23597,-2298,248,1001,X,0,0.1842619925737381
5155,230,22102,-1588,1881,401,X,0,0.1842619925737381
4726,639,19363,-417,2018,-328,X,0,0.1842619925737381
3284,259,16310,758,1454,-1159,X,0,0.1842619925737381
1074,-123,13238,1667,425,-1810,X,0,0.1842619925737381
15025,-2106,21261,733,-1936,-797,X,1,-0.7764851450920105
18600,-4042,28904,2836,-3815,-2224,X,1,-0.7764851450920105
16135,-5151,21927,6374,-6743,-4218,X,1,-0.7764851450920105
15525,-7019,15097,8797,-6538,-5532,X,1,-0.7764851450920105
12756,-5959,10909,10325,-4312,-6690,X,1,-0.7764851450920105
13405,-6735,9869,11130,-5946,-7556,X,1,-0.7764851450920105
11221,-7947,6430,11973,-6878,-9239,X,1,-0.7764851450920105
