ax,ay,az,gx,gy,gz,name,n
-135,-32,7935,250,-266,-89,X,0
-811,406,7952,93,-134,-94,X,0
800,-508,8233,28,2,-78,X,0
-1339,330,8242,-56,-4,-67,X,0
370,-579,7845,86,-335,-10,X,0
-565,57,7713,-21,-115,43,X,0
216,165,8104,12,-204,-20,X,0
-741,221,8239,-27,-171,70,X,0
437,-18,7904,10,-123,68,X,0
182,63,8126,-134,67,-11,X,0
-687,197,8285,-116,-132,-84,X,0
815,-105,8058,-68,-343,-24,X,0
-158,82,7974,-113,-306,-216,X,0
-525,65,7822,-196,-313,-230,X,0
-383,245,8047,-372,-583,-166,X,0
-402,189,9078,-652,-797,-221,X,0
-243,-240,11031,-848,-1228,-391,X,0
-962,-946,14587,-786,-2155,-662,X,0
-1346,-2767,19410,-248,-2722,-875,X,0
-5185,-4879,25406,1005,-2336,-1100,X,0
-10026,-6839,31663,3459,-2726,-352,X,0
-8152,-8726,31369,7606,-4643,1768,X,0
-3867,-10397,24616,12237,-5552,3547,X,0
-664,-11252,18741,15513,-5941,4161,X,0
2944,-11230,11652,17627,-4999,4219,X,0
7679,-9222,3430,18317,-3181,3892,X,0
9041,-7983,1222,17494,-1481,2553,X,0
7595,-6726,-3032,16665,-1135,859,X,0
4635,-6177,-6317,15022,-950,-333,X,0
2464,-5503,-10561,13095,-967,-678,X,0
1141,-4489,-14873,10753,-1513,-480,X,0
1590,-2771,-16408,7719,-2256,85,X,0
4172,-1407,-14224,4448,-2186,641,X,0
6226,-1103,-12252,1889,-1153,451,X,0
5256,-1222,-11799,118,-342,-562,X,0
2842,-1943,-12481,-1371,382,-1388,X,0
1080,-2599,-12757,-3023,391,-1519,X,0
754,-3309,-12197,-4848,-55,-1140,X,0
1298,-4073,-11409,-6721,-363,-672,X,0
1834,-4995,-9368,-8602,-498,-274,X,0
2089,-5893,-7937,-10148,-446,67,X,0
2523,-7174,-7764,-11651,-282,384,X,0
2743,-9248,-8231,-13564,297,484,X,0
2167,-11731,-6436,-15984,1566,271,X,0
332,-14811,-3622,-18489,2519,189,X,0
-874,-17021,5736,-21050,3007,789,X,0
725,-19638,20218,-21399,4498,1569,X,0
2323,-18114,31984,-18589,2500,1511,X,0
3878,-16102,32764,-13505,787,1054,X,0
4100,-13965,32764,-7340,760,259,X,0
3009,-11451,32712,-2022,2937,-218,X,0
3979,-8269,29962,714,3181,-41,X,0
6853,-6233,28843,2174,2140,27,X,0
9630,-5473,24909,4404,1832,-526,X,0
9777,-5519,20797,6445,2937,-1758,X,0
8675,-5685,20543,7612,3345,-3201,X,0
8110,-7495,20845,9048,3925,-4441,X,0
6301,-9257,17340,11471,5263,-5676,X,0
3896,-10322,13928,13885,6314,-6708,X,0
3041,-10537,10191,16000,5008,-7058,X,0
2620,-12039,5555,17435,3453,-7231,X,0
-256,-12998,561,18110,3385,-7767,X,0
-3892,-12248,-3988,17881,2485,-8032,X,0
-6303,-10393,-6259,16533,559,-7569,X,0
-7427,-8418,-8101,14736,-775,-6440,X,0
-7567,-6401,-9795,12702,-885,-4786,X,0
-6574,-5901,-11904,10280,-407,-3075,X,0
-5649,-5924,-13268,7536,-18,-1960,X,0
-6038,-5610,-12761,4684,99,-1525,X,0
-6957,-5202,-11463,2037,44,-1185,X,0
-7138,-5285,-10486,-233,325,-597,X,0
-6806,-5711,-9800,-2228,1008,46,X,0
-6610,-5915,-8506,-4107,1049,559,X,0
-7021,-6291,-7101,-5781,573,1075,X,0
-7016,-6577,-7287,-7272,-591,1898,X,0
-6316,-7395,-7475,-9210,-1356,2991,X,0
-6134,-9280,-6208,-11638,-1467,4167,X,0
-4957,-11494,-4233,-13766,-994,5367,X,0
-3671,-13268,-1942,-15380,-1022,6294,X,0
-2204,-14654,1820,-16676,-1237,7103,X,0
748,-14525,4931,-17499,-2507,8119,X,0
5996,-15245,7770,-17936,-4407,9615,X,0
11491,-17292,12201,-17794,-5143,10072,X,0
14432,-16768,19366,-16943,-6332,8780,X,0
15192,-14716,26993,-15798,-4814,6845,X,0
10487,-13185,32511,-14077,-339,4327,X,0
6456,-9737,32764,-10637,1104,2531,X,0
9276,-6875,32756,-5548,-195,2363,X,0
10830,-5549,27207,-981,-528,1488,X,0
6620,-4425,20825,1185,542,-266,X,0
3627,-3572,19208,1788,1164,-1009,X,0
2745,-3401,17498,2520,1180,-1082,X,0
1728,-3394,13907,3544,1454,-1288,X,0
1081,-2923,10452,3956,1528,-1374,X,0
1216,-2767,9108,3634,892,-1248,X,0
606,-2293,8537,3299,340,-1266,X,0
205,-468,8530,54,-541,-100,X,1
-734,606,8242,49,-305,-105,X,1
-1260,1132,8288,9,-242,-102,X,1
784,-424,8514,76,-445,5,X,1
85,107,8103,102,-648,-138,X,1
-451,306,7891,86,-659,-125,X,1
-1226,578,7769,-22,-680,-159,X,1
-700,457,8182,-189,-805,-85,X,1
-812,529,9612,-435,-1008,-94,X,1
-1779,92,12605,-572,-1177,-91,X,1
-2009,-897,16437,-273,-1700,63,X,1
-1930,-1841,19561,655,-1991,202,X,1
-2914,-2656,22130,2166,-2360,285,X,1
-3744,-3432,23986,4246,-3048,663,X,1
-3492,-4655,24390,6818,-4026,1433,X,1
-1594,-5596,22922,9672,-5195,2229,X,1
952,-6422,20245,12456,-5933,2575,X,1
4008,-7222,14586,15046,-6037,2228,X,1
5501,-7234,7919,16722,-5075,1272,X,1
5861,-6906,3061,17210,-4072,-34,X,1
4255,-5819,-2072,16786,-3556,-1337,X,1
2544,-4510,-4980,15351,-3001,-2092,X,1
2408,-3459,-6495,13562,-1736,-2151,X,1
1682,-3225,-7645,11848,-746,-2106,X,1
675,-3169,-9533,10285,-650,-2030,X,1
748,-2562,-11211,8557,-222,-1916,X,1
-268,-1873,-12370,6597,286,-1676,X,1
-644,-1569,-12531,4399,433,-924,X,1
-208,-1128,-12172,2106,-148,21,X,1
908,-966,-11475,-37,-593,825,X,1
1970,-1218,-10529,-1878,-507,1220,X,1
2224,-1698,-9806,-3434,-369,1129,X,1
1682,-1992,-9213,-4866,-296,888,X,1
1262,-2397,-8376,-6342,-460,884,X,1
1358,-3396,-7764,-7734,-507,1087,X,1
1249,-4514,-8169,-9103,-365,1273,X,1
1338,-5309,-8167,-10787,-183,1647,X,1
2277,-6550,-6691,-12685,393,2264,X,1
2990,-8190,-6160,-14701,1249,2744,X,1
2222,-11461,-5397,-17360,2814,2957,X,1
1490,-16303,-348,-20580,4922,2818,X,1
2986,-20055,13392,-23300,5312,2177,X,1
5363,-18425,30894,-22858,3527,1266,X,1
5809,-13207,32764,-16961,2009,319,X,1
2859,-9376,32764,-9527,1143,-928,X,1
604,-7709,32653,-3859,1323,-1209,X,1
1449,-6115,26065,-555,3030,-221,X,1
3518,-4330,19648,367,4324,703,X,1
6152,-2553,19820,135,4001,934,X,1
8947,-2402,24074,642,2049,457,X,1
10579,-3093,26423,2748,643,-897,X,1
10493,-4085,25660,5259,1819,-2523,X,1
9017,-5996,23828,7431,4489,-3913,X,1
7634,-7709,20695,9702,6496,-4867,X,1
6138,-8416,19024,12054,6382,-5718,X,1
5983,-8985,16739,14325,4246,-6150,X,1
5712,-12518,12006,16508,2773,-6445,X,1
2979,-14143,6860,18203,2429,-7818,X,1
-1533,-14183,2916,18873,2808,-9159,X,1
-3969,-14375,-1138,19007,1736,-9168,X,1
-5745,-12953,-6828,18403,1350,-8186,X,1
-7437,-10704,-10187,16157,892,-6682,X,1
-7366,-8839,-12055,13066,1268,-4759,X,1
-6815,-7789,-12960,9737,1740,-2994,X,1
-6525,-7090,-13179,6530,1253,-1715,X,1
-6245,-6595,-12959,3667,1151,-767,X,1
-5687,-6285,-12103,1050,1053,5,X,1
-5050,-6143,-10855,-1337,814,477,X,1
-4887,-5921,-9878,-3408,497,644,X,1
-5619,-5832,-9059,-5311,475,757,X,1
-6099,-6049,-7737,-7142,591,1149,X,1
-6095,-6666,-7411,-8802,499,1802,X,1
-5764,-7677,-7394,-10644,227,2512,X,1
