ax,ay,az,gx,gy,gz,name,n,initial_row_angle
8218,599,9025,-2366,-150,-576,circle,0,0.21470800042152405
9079,105,14757,-2795,509,-2108,circle,0,0.21470800042152405
8416,-833,18242,-1938,450,-4052,circle,0,0.21470800042152405
6703,-2384,20087,-342,-135,-6042,circle,0,0.21470800042152405
2226,-3342,20005,1532,-149,-8045,circle,0,0.21470800042152405
-2845,-4521,19245,3283,688,-9044,circle,0,0.21470800042152405
-6563,-5215,18345,4973,954,-8640,circle,0,0.21470800042152405
-8749,-5475,16095,6654,610,-7390,circle,0,0.21470800042152405
-9788,-4955,11544,7868,446,-5800,circle,0,0.21470800042152405
-11110,-3923,8264,7991,716,-4091,circle,0,0.21470800042152405
-12190,-2986,7720,7407,1284,-1943,circle,0,0.21470800042152405
-10334,-2941,6706,7021,1917,583,circle,0,0.21470800042152405
-7612,-2548,4611,6845,2352,2708,circle,0,0.21470800042152405
-6011,-1888,2708,6418,2339,4180,circle,0,0.21470800042152405
-5216,-1890,1406,5655,2684,5192,circle,0,0.21470800042152405
-4164,-1389,32,4680,2380,5993,circle,0,0.21470800042152405
-2085,-930,-622,3503,2422,6477,circle,0,0.21470800042152405
74,-220,-616,2249,2147,6494,circle,0,0.21470800042152405
844,353,27,1053,2075,6098,circle,0,0.21470800042152405
1326,684,619,133,2083,5676,circle,0,0.21470800042152405
1961,959,697,-503,2100,5338,circle,0,0.21470800042152405
2276,974,818,-1066,1847,4935,circle,0,0.21470800042152405
2227,997,493,-1527,1284,4525,circle,0,0.21470800042152405
2473,627,-780,-2087,956,4271,circle,0,0.21470800042152405
4905,387,-3342,-3195,932,4252,circle,0,0.21470800042152405
8681,-326,-2674,-5199,1435,3884,circle,0,0.21470800042152405
10060,-1209,852,-7226,2439,2378,circle,0,0.21470800042152405
8009,-2064,1773,-8313,3432,321,circle,0,0.21470800042152405
5022,-2689,1144,-9003,4342,-1192,circle,0,0.21470800042152405
4866,-3205,4451,-10206,3477,-1723,circle,0,0.21470800042152405
10162,-3592,12651,-11036,1679,-1804,circle,0,0.21470800042152405
15605,-3599,20405,-10243,1438,-3147,circle,0,0.21470800042152405
11777,-5374,25723,-8071,4749,-6494,circle,0,0.21470800042152405
1961,-7036,26407,-4947,6063,-9742,circle,0,0.21470800042152405
