ax,ay,az,gx,gy,gz,name,n
10515,-1278,20032,-3389,2207,-4276,circle,0
6798,-4066,23078,-1437,2055,-6282,circle,0
-285,-7466,24573,961,1270,-7914,circle,0
-9796,-9460,26891,3331,202,-8349,circle,0
-15006,-9408,24208,5740,-197,-6876,circle,0
-13001,-8263,18282,7396,453,-4354,circle,0
-10722,-7036,13639,8014,1219,-2297,circle,0
-8702,-5718,9341,8202,1387,-786,circle,0
-7157,-4216,6667,8106,693,221,circle,0
-6795,-3168,3849,7857,470,872,circle,0
-6217,-2394,1207,7276,845,1584,circle,0
-5056,-1566,335,6321,1091,2308,circle,0
-3286,-866,-440,5387,1155,2862,circle,0
-2277,-212,-517,4473,1349,3081,circle,0
-2244,240,-542,3696,1316,3132,circle,0
-2712,584,-839,3054,963,3256,circle,0
-2444,876,-1111,2376,781,3553,circle,0
-1371,1057,-1277,1653,989,3875,circle,0
-713,1317,-735,955,1014,4092,circle,0
1142,1494,-900,412,847,4258,circle,0
3013,1784,-1586,-172,675,4116,circle,0
3824,1878,-2678,-910,695,3603,circle,0
3146,1711,-3137,-1917,614,2989,circle,0
2558,1131,-2186,-3099,794,2659,circle,0
2480,404,-1740,-4181,1159,2533,circle,0
4339,49,-170,-5353,1622,2477,circle,0
6292,-520,868,-6347,2177,2153,circle,0
7680,-1164,105,-7155,1847,1481,circle,0
8436,-2721,-1216,-8343,1520,628,circle,0
8584,-4521,1468,-10164,1473,-298,circle,0
11387,-5446,8535,-11807,1763,-1201,circle,0
13219,-6272,17613,-12237,3178,-2729,circle,0
9431,-7099,26733,-10975,5358,-4945,circle,0
1515,-8280,32375,-7718,4964,-6879,circle,0
-3472,-9296,32764,-3431,2170,-7344,circle,0
-4926,-10890,32737,241,-402,-7017,circle,0
-8967,-11397,31800,3088,-318,-6771,circle,0
-11575,-10890,28321,5252,1270,-5735,circle,0
-11524,-9821,24947,6859,2474,-4081,circle,0
-11304,-9032,21750,8264,2540,-2473,circle,0
-8927,-8140,16021,9709,1585,-953,circle,0
-5780,-6873,10227,10461,607,76,circle,0
-5050,-5619,7005,10350,436,525,circle,0
-4023,-4767,3916,10027,830,980,circle,0
-3566,-4004,311,9507,1327,1384,circle,0
-3409,-2845,-2749,8574,1156,1717,circle,0
-3130,-1441,-4622,7390,-289,2002,circle,0
-1615,-57,-5231,6054,-1326,2199,circle,0
-793,800,-5148,4659,-571,2134,circle,0
-367,1370,-5396,3319,514,1997,circle,0
758,1757,-5661,2100,1019,1889,circle,0
1086,1966,-5167,1062,973,1588,circle,0
-90,1906,-3899,288,220,1225,circle,0
-1007,1783,-4158,-178,-492,1195,circle,0
345,1600,-5362,-838,-600,1418,circle,0
1529,1330,-5579,-1870,1,1402,circle,0
1865,897,-4633,-2957,278,1166,circle,0
2530,153,-4500,-3846,179,876,circle,0
1225,-1047,-4860,-4820,651,384,circle,0
-1034,-2582,-5024,-6076,1504,64,circle,0
-1479,-4060,-4661,-7439,1321,217,circle,0
266,-5851,-4584,-8862,402,567,circle,0
2177,-8972,-5990,-10621,-276,641,circle,0
3008,-13505,-2008,-13188,-787,476,circle,0
3696,-16726,12973,-15513,-1067,105,circle,0
-951,-16545,25411,-14951,-831,-485,circle,0
-4567,-14575,31683,-12256,-1299,-62,circle,0
-1324,-12610,32048,-8947,-1683,1413,circle,0
4722,-10024,32044,-5945,-2488,2270,circle,0
6283,-7653,31141,-3301,-1174,1695,circle,0
3812,-5854,28154,-938,778,611,circle,0
778,-5512,24828,976,2067,-78,circle,0
714,-5259,18873,2631,2519,-120,circle,0
1072,-5255,14918,3538,1493,-239,circle,0
1071,-4808,14122,4074,-550,-577,circle,0
-687,-4869,13452,4547,-830,-962,circle,0
-1280,-4653,9964,5076,-99,-915,circle,0
-1067,-3959,5101,5170,152,-652,circle,0
13789,-391,21692,-995,1642,-4185,circle,1
10454,-3770,23187,1527,1932,-7103,circle,1
1488,-6879,22571,4158,885,-9686,circle,1
-8497,-8498,21212,6187,-320,-10630,circle,1
-17429,-8204,15897,7622,345,-9469,circle,1
-18696,-5884,9590,7881,1607,-6039,circle,1
-13336,-4094,8178,6879,2066,-2159,circle,1
-9072,-2794,9323,6087,2004,264,circle,1
-7353,-1958,8241,6308,1806,1472,circle,1
-5861,-1684,5148,6769,1494,2369,circle,1
-4500,-1037,1754,6759,1151,3078,circle,1
-3615,-479,-614,6042,1293,3551,circle,1
-2975,-51,-1856,4950,1625,3963,circle,1
-1919,573,-2770,3850,1252,4372,circle,1
-541,1332,-2570,2710,675,4657,circle,1
199,1788,-2188,1606,532,4645,circle,1
-857,2013,-1816,565,906,4490,circle,1
-2106,1746,-1488,-324,1224,4681,circle,1
-761,1342,-1978,-1143,1452,5309,circle,1
3334,1307,-1557,-2207,1815,5883,circle,1
7621,1566,156,-3224,1904,5617,circle,1
7457,1606,865,-3763,1405,4119,circle,1
3021,1278,59,-4188,1003,2562,circle,1
-233,208,-387,-5048,1465,2233,circle,1
835,-1165,-1850,-6236,1916,2874,circle,1
7912,-2069,-1534,-7978,2188,3597,circle,1
14040,-3517,2966,-9743,2513,2609,circle,1
9243,-4655,6887,-10555,2417,-256,circle,1
3187,-4962,13530,-11073,2756,-2094,circle,1
5454,-4305,23855,-10559,4064,-2333,circle,1
6540,-3486,31106,-7801,4623,-3195,circle,1
8321,-3787,31813,-3615,2118,-4678,circle,1
6156,-6075,28688,112,-1038,-6735,circle,1
-2131,-7472,26805,2372,-1975,-8580,circle,1
-6706,-8029,27897,3687,-1233,-8680,circle,1
-7958,-7737,25404,5468,-274,-7636,circle,1
-8284,-7289,22720,7122,309,-6327,circle,1
-8473,-6961,20526,8600,157,-4970,circle,1
-7507,-6319,16394,10126,-132,-3466,circle,1
-6326,-5950,12726,11116,-460,-2284,circle,1
-5822,-5659,7979,11775,-756,-1541,circle,1
-4854,-4563,1644,11878,-816,-897,circle,1
-4156,-2833,-3931,10791,261,-331,circle,1
-3255,-1181,-5891,8674,1236,219,circle,1
-3118,39,-4958,6526,1370,605,circle,1
-4091,786,-4267,5022,1261,933,circle,1
-3773,1318,-4912,3917,1069,1519,circle,1
-2069,1719,-4798,2755,966,2106,circle,1
-1305,1792,-4163,1682,1070,2297,circle,1
-1421,1818,-4516,842,1071,2303,circle,1
-766,1749,-5827,-62,989,2445,circle,1
565,1587,-5867,-1398,970,2555,circle,1
1121,1420,-4286,-2827,987,2409,circle,1
1597,1001,-3860,-3883,861,2159,circle,1
1946,379,-4099,-4938,1144,1855,circle,1
1778,-591,-3485,-6217,1801,1472,circle,1
724,-1616,-1340,-7536,2367,999,circle,1
-824,-2668,329,-8386,2637,653,circle,1
-2321,-4204,-570,-8882,2510,720,circle,1
-708,-6283,-2222,-9823,1318,1411,circle,1
3242,-8571,1945,-11691,37,1968,circle,1
3404,-10011,9292,-12930,-437,1456,circle,1
-17,-9937,16078,-12796,50,766,circle,1
-108,-9315,24143,-11681,1988,901,circle,1
402,-7923,27134,-8934,1900,871,circle,1
780,-7056,26098,-5841,-372,716,circle,1
1408,-6071,24967,-3634,-1639,689,circle,1
981,-4831,24862,-2119,-1497,583,circle,1
1628,-3623,23309,-683,-840,602,circle,1
3956,-2813,21523,518,75,514,circle,1
3093,-2770,20131,1567,945,-167,circle,1
1196,-3214,16783,2759,749,-690,circle,1
783,-3229,12318,3569,-170,-770,circle,1
867,-3223,11582,3507,-310,-799,circle,1
11741,533,13834,-1858,1800,-2336,circle,2
7762,-892,18174,-1052,2340,-4673,circle,2
4595,-2808,22154,672,1642,-6242,circle,2
-742,-4868,20558,3077,783,-7466,circle,2
-7810,-5896,18100,4840,375,-7961,circle,2
-11850,-5202,16498,5902,881,-6912,circle,2
-13202,-4370,13746,6804,1424,-4646,circle,2
-12067,-3700,10797,7267,1168,-2057,circle,2
-10286,-2877,9459,7308,412,113,circle,2
-7861,-2181,6969,7463,-442,1653,circle,2
-5412,-1636,3226,7345,-222,2533,circle,2
-4352,-883,1412,6497,385,2963,circle,2
-4225,-188,822,5508,858,3302,circle,2
-4062,328,-221,4663,1107,3708,circle,2
-3404,660,-1076,3760,1353,4154,circle,2
-2133,1071,-1318,2747,1500,4539,circle,2
