ax,ay,az,gx,gy,gz,name,n,initial_row_angle
291,-4560,1344,-4594,243,-416,down_I,0,0.14595098793506622
-364,-5696,3447,-5241,224,-458,down_I,0,0.14595098793506622
-1252,-6596,4947,-5488,-5,-367,down_I,0,0.14595098793506622
-972,-6899,4359,-5444,-454,-88,down_I,0,0.14595098793506622
974,-7295,5396,-5603,-1130,196,down_I,0,0.14595098793506622
-1045,-8300,5525,-5790,-851,63,down_I,0,0.14595098793506622
-1463,-8790,7299,-6116,-811,346,down_I,0,0.14595098793506622
1217,-9147,11550,-6499,-172,751,down_I,0,0.14595098793506622
96,-9195,14430,-6059,251,480,down_I,0,0.14595098793506622
-319,-8803,15830,-5040,-391,362,down_I,0,0.14595098793506622
-1360,-8650,15902,-4047,-194,316,down_I,0,0.14595098793506622
-1702,-8010,15497,-3156,-84,428,down_I,0,0.14595098793506622
139,-7408,16010,-2407,-62,681,down_I,0,0.14595098793506622
272,-6933,15888,-1549,265,502,down_I,0,0.14595098793506622
381,-6689,15817,-639,197,274,down_I,0,0.14595098793506622
79,-6464,13382,374,-83,85,down_I,0,0.14595098793506622
410,-6308,12195,1003,-489,-26,down_I,0,0.14595098793506622
-482,-6366,11498,1434,-457,-191,down_I,0,0.14595098793506622
-391,-6318,10480,1839,-450,-128,down_I,0,0.14595098793506622
847,-6266,10556,2093,-522,-6,down_I,0,0.14595098793506622
1151,-6316,10177,2409,-377,-137,down_I,0,0.14595098793506622
591,-6476,10685,2700,-421,-352,down_I,0,0.14595098793506622
302,-6568,10123,3105,-405,-425,down_I,0,0.14595098793506622
-77,-6781,9722,3359,-159,-431,down_I,0,0.14595098793506622
-825,-6711,8492,3561,11,-332,down_I,0,0.14595098793506622
216,-6340,8680,3570,-248,-60,down_I,0,0.14595098793506622
1294,-5847,8398,3634,-259,-14,down_I,0,0.14595098793506622
1684,-5782,8328,3650,60,-242,down_I,0,0.14595098793506622
-6,-5852,8972,3661,330,-559,down_I,0,0.14595098793506622
-1290,-5777,9461,3892,244,-513,down_I,0,0.14595098793506622
-348,-5181,7684,4310,-241,-123,down_I,0,0.14595098793506622
1031,-4661,6654,4297,-311,60,down_I,0,0.14595098793506622
458,-4013,5486,4005,369,-84,down_I,0,0.14595098793506622
279,-3555,6072,3623,888,-106,down_I,0,0.14595098793506622
-1315,-3681,4355,-3414,248,-484,down_I,1,0.07515936344861984
-932,-4074,3966,-3674,245,-226,down_I,1,0.07515936344861984
-576,-4312,4186,-4012,99,-54,down_I,1,0.07515936344861984
550,-4478,5903,-4296,-304,52,down_I,1,0.07515936344861984
501,-4930,5600,-4201,-341,-72,down_I,1,0.07515936344861984
-190,-5845,4821,-4241,-221,-205,down_I,1,0.07515936344861984
-1380,-6932,5818,-4617,27,-205,down_I,1,0.07515936344861984
-1516,-7581,7223,-4948,424,18,down_I,1,0.07515936344861984
-28,-7644,8792,-5039,500,266,down_I,1,0.07515936344861984
1092,-7834,10177,-4788,234,166,down_I,1,0.07515936344861984
-767,-8196,10031,-4337,339,-248,down_I,1,0.07515936344861984
-2258,-8432,10345,-4037,453,-323,down_I,1,0.07515936344861984
-2360,-8348,11901,-3733,268,-73,down_I,1,0.07515936344861984
-1465,-7870,12510,-3126,-89,227,down_I,1,0.07515936344861984
-202,-7415,11880,-2432,-282,358,down_I,1,0.07515936344861984
-101,-7135,11151,-1905,-178,198,down_I,1,0.07515936344861984
-652,-6859,11662,-1492,-276,-4,down_I,1,0.07515936344861984
-877,-6803,11556,-930,-428,-64,down_I,1,0.07515936344861984
-847,-6646,10394,-410,-261,-37,down_I,1,0.07515936344861984
-650,-6651,10560,-181,21,1,down_I,1,0.07515936344861984
-655,-6732,10562,128,245,1,down_I,1,0.07515936344861984
-395,-6608,10089,532,140,4,down_I,1,0.07515936344861984
-435,-6642,10215,897,-132,-48,down_I,1,0.07515936344861984
-511,-6639,9908,1323,-412,-79,down_I,1,0.07515936344861984
-132,-6658,9774,1644,-395,-59,down_I,1,0.07515936344861984
-57,-6705,9666,1898,-147,-96,down_I,1,0.07515936344861984
-238,-6901,9696,2155,-26,-128,down_I,1,0.07515936344861984
-422,-7043,9499,2478,-164,-119,down_I,1,0.07515936344861984
-309,-6985,8723,2767,-355,-45,down_I,1,0.07515936344861984
-75,-6751,8921,2851,-385,12,down_I,1,0.07515936344861984
-29,-6804,9758,2948,-192,-2,down_I,1,0.07515936344861984
-390,-6859,9553,3304,-101,-43,down_I,1,0.07515936344861984
195,-6680,9202,3669,-289,-6,down_I,1,0.07515936344861984
52,-6828,9045,3955,-314,-116,down_I,1,0.07515936344861984
-1237,-6483,7262,4213,-51,-183,down_I,1,0.07515936344861984
-646,-5874,7495,4136,-58,25,down_I,1,0.07515936344861984
-201,-5494,7294,4170,98,93,down_I,1,0.07515936344861984
-103,-4924,6420,4298,-41,50,down_I,1,0.07515936344861984
179,-4525,6985,4233,-256,-41,down_I,1,0.07515936344861984
-480,-4073,6609,4294,-206,-203,down_I,1,0.07515936344861984
-1058,-3785,4693,4394,-260,-190,down_I,1,0.07515936344861984
-2980,-3950,4383,-3382,427,-642,down_I,2,0.018511325120925903
-1497,-3987,4575,-3561,83,-123,down_I,2,0.018511325120925903
210,-4129,4251,-3656,-358,126,down_I,2,0.018511325120925903
147,-4691,4424,-3927,-456,13,down_I,2,0.018511325120925903
-353,-5337,5682,-4335,-244,-62,down_I,2,0.018511325120925903
-754,-6048,5916,-4596,384,-3,down_I,2,0.018511325120925903
-753,-6477,6994,-4781,489,81,down_I,2,0.018511325120925903
383,-6654,8509,-4654,-234,138,down_I,2,0.018511325120925903
561,-7093,9010,-4288,-661,-8,down_I,2,0.018511325120925903
100,-7415,9757,-4010,-673,-137,down_I,2,0.018511325120925903
-297,-7644,10126,-3651,-841,-145,down_I,2,0.018511325120925903
213,-7353,9945,-3247,-1166,-16,down_I,2,0.018511325120925903
879,-7285,10861,-3069,-968,66,down_I,2,0.018511325120925903
440,-7328,11637,-2838,-172,-4,down_I,2,0.018511325120925903
39,-7207,12224,-2461,409,-9,down_I,2,0.018511325120925903
