ax,ay,az,gx,gy,gz,name,n
-37,-1434,23856,-7,857,348,ghost,0
352,-2256,26948,1878,89,487,ghost,0
874,-3075,28567,4606,-1409,632,ghost,0
3264,-3842,23375,7948,-3051,582,ghost,0
4607,-4292,16003,10487,-2727,8,ghost,0
4529,-4605,10672,11572,-1846,-1093,ghost,0
3522,-3679,5348,11868,-1180,-2197,ghost,0
2400,-3301,728,11571,-387,-2836,ghost,0
700,-1986,-3841,10783,-349,-3064,ghost,0
-242,-855,-8284,9233,-1258,-2775,ghost,0
96,917,-9039,6673,-1975,-2223,ghost,0
1106,1699,-5981,3813,-1583,-1833,ghost,0
605,1839,-3792,2073,-1030,-1935,ghost,0
-1190,1928,-4066,1298,-958,-2159,ghost,0
-1959,2041,-5071,616,-970,-1890,ghost,0
-1025,2293,-5350,-339,-1238,-1341,ghost,0
184,2337,-4366,-1380,-1569,-1040,ghost,0
-327,2307,-4012,-2198,-1521,-1155,ghost,0
-1283,2363,-3725,-3100,-1342,-1216,ghost,0
-1040,2054,-1687,-4202,-847,-995,ghost,0
-634,1573,-214,-4975,-414,-885,ghost,0
-1443,1062,711,-5447,-513,-1002,ghost,0
-2166,479,1353,-5916,-756,-891,ghost,0
-1964,-45,2487,-6554,-867,-535,ghost,0
-1606,-671,3895,-7225,-641,-196,ghost,0
-1700,-1447,5237,-7799,-276,62,ghost,0
-1246,-1474,8431,-8168,-566,433,ghost,0
997,-1722,12718,-7885,-1270,753,ghost,0
1085,-1730,11891,-6897,-1413,292,ghost,0
-2384,-3147,12340,-6854,176,-331,ghost,0
-5696,-3806,15801,-7146,877,-158,ghost,0
-5025,-4039,20285,-6621,10,862,ghost,0
-3494,-4472,24400,-5392,-223,1695,ghost,0
-3429,-4359,26749,-3530,-379,2090,ghost,0
-2544,-3741,26186,-1160,-1275,2653,ghost,0
1050,-2261,23837,1124,-2412,3343,ghost,0
5676,-1085,21418,2890,-2306,3455,ghost,0
8211,-463,16257,4436,-1158,2526,ghost,0
5755,-649,10223,5577,438,915,ghost,0
2311,-454,3790,6122,291,-225,ghost,0
556,835,-4899,5687,-588,-458,ghost,0
647,1813,-8541,3385,-558,-177,ghost,0
211,1952,-6114,285,280,-42,ghost,0
-1372,1401,-2334,-2090,1535,-48,ghost,0
-2612,170,2278,-3421,1774,66,ghost,0
-3927,-1421,9301,-3903,1035,375,ghost,0
-5361,-2498,15909,-3286,337,988,ghost,0
-3093,-2359,19323,-1607,-799,2080,ghost,0
2194,-1282,18680,520,-2100,2846,ghost,0
5621,-323,16788,2260,-1678,2513,ghost,0
6161,456,11729,3673,-276,1479,ghost,0
5901,1056,4588,4363,303,409,ghost,0
3897,1968,-3830,3776,674,-494,ghost,0
2282,2629,-7557,1594,289,-965,ghost,0
947,1749,-4918,-1371,197,-1208,ghost,0
-2093,324,1480,-3670,1037,-1459,ghost,0
-6809,-1326,9782,-4617,1346,-1356,ghost,0
-8454,-2499,15237,-3992,906,-223,ghost,0
-4136,-2757,19105,-2421,-819,1550,ghost,0
947,-1951,19726,-414,-1801,2434,ghost,0
3510,-666,16106,1526,-1619,2208,ghost,0
5137,352,13218,2588,-624,1602,ghost,0
4951,1358,8618,3230,120,814,ghost,0
4981,2188,4158,3187,375,136,ghost,0
4110,2563,732,2352,671,-552,ghost,0
1763,2446,-1165,972,1082,-1147,ghost,0
-101,1879,-557,-628,1168,-1330,ghost,0
-1556,929,1556,-2035,1291,-1302,ghost,0
-3696,-575,3670,-2899,1058,-1211,ghost,0
-5743,-1851,4796,-3325,-168,-785,ghost,0
-5869,-2765,8640,-3960,-1253,176,ghost,0
-4337,-3296,16836,-4431,-386,1237,ghost,0
-4021,-3059,20924,-3164,517,1823,ghost,0
-1335,-2321,18411,-790,-477,2450,ghost,0
4788,-848,15713,874,-1293,2707,ghost,0
4492,-336,12768,1805,-125,1675,ghost,0
1731,92,8288,2341,378,838,ghost,0
1795,-2649,11288,10331,-2783,-1591,ghost,1
2208,-2205,6761,10981,-2439,-2186,ghost,1
2099,-1428,2453,10785,-1710,-2768,ghost,1
1036,-392,-305,9797,-1228,-3029,ghost,1
430,935,-1271,8311,-1622,-2922,ghost,1
-695,1848,-598,6765,-2153,-2703,ghost,1
-1031,2725,-528,5600,-2549,-2228,ghost,1
-677,3161,-955,4605,-2277,-1692,ghost,1
122,3417,-2046,3592,-2126,-1399,ghost,1
316,3827,-2022,2385,-1984,-1391,ghost,1
34,4094,-964,1204,-1401,-1418,ghost,1
300,4303,-533,435,-1138,-1316,ghost,1
247,4146,-861,-171,-1036,-1246,ghost,1
-518,3990,-440,-907,-939,-1246,ghost,1
-1398,3720,-347,-1533,-982,-1144,ghost,1
-2012,3812,-1132,-2141,-961,-852,ghost,1
-1465,3688,55,-3042,-722,-330,ghost,1
-281,3496,1189,-3692,-611,-4,ghost,1
-820,3087,2745,-4050,-522,-154,ghost,1
-2857,2532,4546,-4030,-476,-283,ghost,1
-3934,2286,3264,-3656,-601,146,ghost,1
-2286,2051,1933,-3897,-720,1046,ghost,1
-183,1761,2421,-4754,-680,1666,ghost,1
1092,1385,1881,-5659,-284,1680,ghost,1
828,637,2431,-6757,522,1331,ghost,1
195,-375,4353,-7700,560,1064,ghost,1
-9,-1087,7290,-8209,195,1057,ghost,1
-22,-1936,10131,-8291,243,1199,ghost,1
-443,-2409,10415,-8138,993,1252,ghost,1
-329,-3281,14896,-8412,1757,1398,ghost,1
-481,-3586,20007,-7735,2143,1418,ghost,1
-785,-3252,19627,-5454,691,1251,ghost,1
-172,-3866,20458,-3613,-1038,1147,ghost,1
-868,-4316,23926,-2386,-856,1095,ghost,1
-1222,-3708,23808,-396,-1470,1429,ghost,1
1614,-2237,20556,1903,-2604,2122,ghost,1
4880,-916,17786,3607,-3175,2281,ghost,1
6735,-698,14448,4835,-2661,1643,ghost,1
6670,-272,9249,5719,-1280,389,ghost,1
3515,-728,5201,5995,926,-1096,ghost,1
-1701,-485,-5000,6086,1656,-1900,ghost,1
-4625,1626,-15356,4135,798,-1167,ghost,1
-1829,1062,-10846,-805,784,434,ghost,1
-1242,-267,-85,-4887,2002,913,ghost,1
-3709,-1745,10309,-6236,3038,669,ghost,1
-7071,-2882,20756,-5189,2390,1021,ghost,1
-2389,-2972,23811,-1936,-1353,2723,ghost,1
4519,-1924,19376,1664,-4073,3686,ghost,1
7475,-826,14096,3706,-4056,2820,ghost,1
6874,197,9917,4428,-2334,1186,ghost,1
4984,970,5211,4496,-338,-131,ghost,1
2977,1451,-1145,3894,1033,-837,ghost,1
474,1887,-7233,2221,1180,-1032,ghost,1
-558,1494,-7080,-859,450,-695,ghost,1
