ax,ay,az,gx,gy,gz,name,n,initial_row_angle
-5930,-4119,32764,2965,-4461,389,uptick,0,0.03581729158759117
2639,-8567,32764,10092,-8468,729,uptick,0,0.03581729158759117
13043,-16396,32717,18352,-5394,-508,uptick,0,0.03581729158759117
10583,-24237,20983,25185,-1863,-3719,uptick,0,0.03581729158759117
701,-22582,729,28324,-700,-6576,uptick,0,0.03581729158759117
-6674,-13935,-18988,25664,2167,-5593,uptick,0,0.03581729158759117
-7484,-7190,-22676,18526,2148,-2419,uptick,0,0.03581729158759117
-2261,-2767,-22401,11636,777,202,uptick,0,0.03581729158759117
3648,45,-16777,5806,-735,881,uptick,0,0.03581729158759117
6465,871,-11711,1781,-1081,-208,uptick,0,0.03581729158759117
1758,760,-8744,-791,-555,-1957,uptick,0,0.03581729158759117
-2507,218,-8345,-2546,-472,-2440,uptick,0,0.03581729158759117
-3511,-524,-9583,-4274,-892,-1755,uptick,0,0.03581729158759117
-2736,-1105,-8887,-6410,-1269,-833,uptick,0,0.03581729158759117
-2389,-1909,-6923,-8513,-734,-143,uptick,0,0.03581729158759117
-3501,-3178,-7442,-10351,-384,410,uptick,0,0.03581729158759117
-2566,-5643,-8546,-12666,-471,1304,uptick,0,0.03581729158759117
67,-7949,-2628,-15621,268,1916,uptick,0,0.03581729158759117
-496,-8869,6352,-17170,1430,1583,uptick,0,0.03581729158759117
-4545,-7530,12474,-16396,2329,1147,uptick,0,0.03581729158759117
-3563,-6255,16462,-14526,1925,1566,uptick,0,0.03581729158759117
-5,-4103,23505,-12503,876,1724,uptick,0,0.03581729158759117
2239,-2035,27868,-9304,231,1305,uptick,0,0.03581729158759117
991,-676,24118,-5230,-348,579,uptick,0,0.03581729158759117
149,-267,17654,-2322,-1009,280,uptick,0,0.03581729158759117
582,-108,12488,-1250,-1118,309,uptick,0,0.03581729158759117
-275,-1525,30766,1808,-1177,338,uptick,1,-0.05211592838168144
2236,-4419,32764,6709,-3056,168,uptick,1,-0.05211592838168144
6977,-10007,32720,13839,-4304,-804,uptick,1,-0.05211592838168144
6498,-14896,24858,20022,-4918,-2890,uptick,1,-0.05211592838168144
1524,-16503,11023,23142,-5607,-5235,uptick,1,-0.05211592838168144
-2841,-13755,-646,22935,-3576,-5968,uptick,1,-0.05211592838168144
-5863,-9625,-10011,20338,-970,-5157,uptick,1,-0.05211592838168144
-7296,-5103,-15253,16263,804,-3208,uptick,1,-0.05211592838168144
-3247,-1629,-16279,11647,962,-803,uptick,1,-0.05211592838168144
1257,283,-15146,7361,309,342,uptick,1,-0.05211592838168144
2882,1910,-13834,3726,-186,154,uptick,1,-0.05211592838168144
3322,2130,-10326,515,-332,-498,uptick,1,-0.05211592838168144
527,1898,-7441,-1749,-69,-1287,uptick,1,-0.05211592838168144
-2051,1593,-6881,-3226,-1,-1444,uptick,1,-0.05211592838168144
-2522,1453,-6551,-4652,-214,-893,uptick,1,-0.05211592838168144
-1505,1122,-5512,-6151,-317,-190,uptick,1,-0.05211592838168144
-486,788,-5345,-7598,-276,245,uptick,1,-0.05211592838168144
-817,-531,-6184,-9272,-126,427,uptick,1,-0.05211592838168144
-3180,-3127,-9154,-11429,-140,837,uptick,1,-0.05211592838168144
-4229,-7358,-7873,-14771,-702,2099,uptick,1,-0.05211592838168144
-2340,-11327,-278,-18147,-681,3799,uptick,1,-0.05211592838168144
52,-11844,11262,-19650,1258,4512,uptick,1,-0.05211592838168144
3375,-9312,24332,-18599,3879,3581,uptick,1,-0.05211592838168144
2407,-4379,31182,-14323,4185,1824,uptick,1,-0.05211592838168144
-1472,-2328,29580,-8573,3832,728,uptick,1,-0.05211592838168144
-3827,-1523,21252,-3726,2084,631,uptick,1,-0.05211592838168144
346,-880,14242,-1334,-65,1346,uptick,1,-0.05211592838168144
3543,-282,11656,-912,-652,1315,uptick,1,-0.05211592838168144
-939,-1240,27105,3130,202,-132,uptick,2,0.09197857975959778
3221,-3211,31856,7326,-300,-262,uptick,2,0.09197857975959778
6249,-7311,30081,12721,-228,-1368,uptick,2,0.09197857975959778
