ax,ay,az,gx,gy,gz,name,n
-353,-15,16862,51,-1422,105,circle,0
-641,-265,16886,65,-1371,85,circle,0
364,-283,16426,97,-898,124,circle,0
-1845,321,16748,-96,-704,214,circle,0
519,128,17617,-19,-694,333,circle,0
-3694,1366,16871,191,-553,218,circle,0
2048,-746,17143,284,-929,366,circle,0
-531,587,16982,314,-1257,420,circle,0
-184,567,17424,357,-1313,364,circle,0
-1252,544,17241,544,-1353,315,circle,0
-407,527,17021,650,-1066,343,circle,0
-215,278,17315,686,-601,353,circle,0
-583,385,16721,924,-773,391,circle,0
-1057,370,16016,991,-1035,553,circle,0
-788,332,15872,805,-1243,1030,circle,0
-596,394,15781,643,-1343,1419,circle,0
855,391,14682,566,-1478,1777,circle,0
2357,511,12533,-69,-1025,1713,circle,0
3520,378,11095,-1900,957,1331,circle,0
6110,240,13240,-4626,3516,690,circle,0
9028,-359,16193,-6414,4832,-1025,circle,0
12311,500,16377,-6913,4003,-4173,circle,0
15398,651,21342,-7943,3958,-8466,circle,0
12757,187,28351,-7024,5384,-13946,circle,0
13741,-312,29373,-2776,4375,-18568,circle,0
12457,-3528,32088,1134,5897,-23629,circle,0
526,-7393,32764,5878,5990,-29658,circle,0
-10670,-8652,32764,11200,2579,-31940,circle,0
-13177,-8398,32764,15986,2662,-28552,circle,0
-11374,-9517,32764,20965,2692,-23778,circle,0
-14629,-10172,31978,26784,1116,-21088,circle,0
-18173,-10034,24497,31732,1180,-17201,circle,0
-19873,-8938,19083,32762,2315,-11112,circle,0
-18679,-7257,15320,32751,2148,-3853,circle,0
-14425,-5862,10529,32395,2370,2805,circle,0
-10018,-4565,6433,30952,1772,7272,circle,0
-9298,-2595,2322,28113,2537,9565,circle,0
-7519,-1451,717,24147,3199,11826,circle,0
-5127,-154,-1287,20761,3593,13656,circle,0
-3500,1176,-4186,17038,5000,14754,circle,0
-3501,2095,-5018,11988,5465,15489,circle,0
-3795,2352,-4297,6997,5524,16355,circle,0
-2590,2541,-5352,3275,4670,17711,circle,0
-546,2944,-7040,-1030,4190,19209,circle,0
1198,2633,-5359,-6826,4834,20276,circle,0
1322,1818,-1893,-12096,6349,20915,circle,0
2658,1281,-812,-15774,7357,22043,circle,0
6550,-60,-3425,-19619,9179,23369,circle,0
11972,-882,-3440,-25809,10190,23369,circle,0
17021,-2993,1417,-31752,7906,21071,circle,0
18177,-4883,3428,-32764,5469,16452,circle,0
19473,-6360,8200,-32764,1716,12164,circle,0
24474,-8641,22908,-32764,2028,8350,circle,0
26327,-8461,32746,-32764,2820,1440,circle,0
20381,-6772,32764,-32322,6877,-7133,circle,0
16504,-5906,32764,-25537,9979,-13067,circle,0
16186,-6742,32764,-14992,7547,-17414,circle,0
11406,-8081,32764,-7761,6113,-22384,circle,0
3701,-10458,32764,-846,6748,-26576,circle,0
-1967,-12564,32764,7749,9979,-28004,circle,0
-4900,-13672,32764,17827,11308,-27630,circle,0
-5116,-14344,32764,26133,7999,-27162,circle,0
-8165,-15356,32764,31886,7421,-26443,circle,0
-12628,-16050,32658,32764,5779,-24167,circle,0
-15245,-16295,27719,32764,3753,-19364,circle,0
-12658,-14468,18198,32764,-298,-12955,circle,0
-8123,-12241,5218,32764,-507,-7660,circle,0
-5345,-8918,-4202,32764,804,-4805,circle,0
-5378,-4924,-10067,32764,2381,-3161,circle,0
-6032,-2013,-12663,32745,2702,-1129,circle,0
-5293,611,-14209,30119,248,1190,circle,0
-3676,2426,-15916,22626,-68,2800,circle,0
-2530,4066,-16913,14557,2834,3600,circle,0
-2608,4875,-15528,6043,4156,3857,circle,0
-3441,4818,-12044,-1277,4764,4300,circle,0
-4307,4680,-8655,-6032,4148,5156,circle,0
-4579,4093,-8629,-8930,4084,6439,circle,0
-4874,3414,-9995,-12367,3515,8024,circle,0
-4181,2468,-10978,-17461,4647,10292,circle,0
-1626,884,-11486,-24250,6313,12748,circle,0
1277,-1636,-11126,-31153,7622,14234,circle,0
2972,-4940,-5528,-32764,8130,13905,circle,0
3302,-8803,3033,-32764,8462,12030,circle,0
-865,-11739,10413,-32764,7953,9485,circle,0
-4647,-12844,16834,-32764,1739,10293,circle,0
5015,-12960,28845,-32764,-4780,16076,circle,0
16994,-11503,32764,-32764,-4755,17372,circle,0
16801,-8883,32764,-32212,-3787,9986,circle,0
10077,-6266,32764,-26360,-2480,2484,circle,0
4540,-6685,32764,-19952,1019,-593,circle,0
183,-4814,32764,-12778,1284,-651,circle,0
1929,-2727,32148,-5245,-984,1636,circle,0
5519,-1393,30054,-2168,-2564,3016,circle,0
7005,-1195,32441,-1199,-1620,2175,circle,0
5987,-1396,29927,1568,1312,498,circle,0
5054,-1744,25581,3611,5378,-483,circle,0
4358,-2005,23915,4907,4507,-1183,circle,0
1607,-9,14016,-261,733,131,circle,1
1993,151,13237,-1372,1865,334,circle,1
1956,770,13164,-2786,3636,38,circle,1
6962,618,14980,-4079,3867,-476,circle,1
8734,994,16059,-4732,3882,-2592,circle,1
14062,839,20530,-5093,1918,-6207,circle,1
13543,1084,25588,-4550,-513,-12662,circle,1
10836,-872,30161,-1930,1932,-18168,circle,1
8502,-2294,32255,2589,4200,-22089,circle,1
8535,-4293,32764,7486,1973,-25414,circle,1
4516,-6183,32764,13145,549,-29474,circle,1
-4179,-8895,32764,17487,2387,-32332,circle,1
-12713,-9263,32764,22165,4276,-31391,circle,1
-16586,-9521,32764,28461,6668,-25578,circle,1
-16804,-11138,28468,32579,7224,-17762,circle,1
-17795,-10699,22503,32764,1707,-11250,circle,1
-17634,-7863,13096,32764,-6127,-6227,circle,1
-16587,-4880,1484,32764,1885,232,circle,1
-11933,-1606,-2672,31872,4633,6984,circle,1
-8335,358,-3474,24809,8817,11675,circle,1
-7144,1479,-2306,16460,10788,14757,circle,1
-5880,1870,-835,10870,9808,17082,circle,1
-4376,1930,-1928,7811,11354,19070,circle,1
-3256,2459,-4827,4354,9959,20207,circle,1
-1897,2565,-3381,-597,8542,21361,circle,1
375,3032,-1469,-4481,5848,22565,circle,1
3435,3351,-1055,-6949,5068,23169,circle,1
4939,3534,-2572,-9621,7802,22922,circle,1
7347,3389,-3478,-14419,8989,22954,circle,1
10945,1999,-1691,-20580,10717,22391,circle,1
12638,775,-1031,-25743,13414,19522,circle,1
12787,-1677,-1118,-30239,10659,15467,circle,1
12866,-3950,-3043,-32615,4906,12445,circle,1
18438,-7019,2779,-32764,1429,11739,circle,1
26014,-8062,22262,-32764,436,8329,circle,1
25130,-6122,32764,-32764,7514,-611,circle,1
17252,-4607,32764,-30363,12311,-10042,circle,1
10751,-5509,32764,-23237,11603,-16012,circle,1
7081,-5789,32764,-16845,11229,-18598,circle,1
4759,-6338,32764,-8659,8154,-20093,circle,1
935,-6817,32764,451,4655,-22324,circle,1
-4046,-7195,32764,8291,4264,-23984,circle,1
-5706,-6960,32764,15252,7472,-23430,circle,1
-4100,-7890,32764,22068,9634,-21827,circle,1
-5602,-9088,32379,27336,8007,-21684,circle,1
-12318,-8574,30076,31374,5687,-21421,circle,1
-17160,-7947,27059,32748,2890,-17480,circle,1
-16036,-7498,20393,32764,2008,-10534,circle,1
-10484,-7626,17147,32764,-549,-4075,circle,1
-7191,-4829,7461,32764,-5346,-1338,circle,1
-5825,-2460,162,32764,-1794,534,circle,1
-3667,-285,-5266,32755,-2741,2193,circle,1
-2692,2446,-7719,30435,-1999,3179,circle,1
-2345,4357,-7356,23353,-188,3857,circle,1
-1693,5373,-6310,17174,2018,4393,circle,1
-890,5614,-7495,13171,3540,4698,circle,1
-906,6302,-10300,9314,2488,4583,circle,1
-1871,6312,-10207,3726,3418,4467,circle,1
-3364,6184,-6774,-1929,3779,4828,circle,1
-3578,6119,-7042,-5638,3357,6146,circle,1
-1393,5632,-9658,-9996,5078,8109,circle,1
979,4543,-8829,-16459,6758,9162,circle,1
1961,3234,-7205,-23421,9075,8845,circle,1
2148,951,-6760,-30166,12002,7699,circle,1
1631,-2245,-3161,-32735,12053,6310,circle,1
1117,-4843,4452,-32764,11047,5388,circle,1
-16,-7128,13046,-32764,9697,4275,circle,1
-2546,-7945,16371,-32764,5049,3332,circle,1
-3340,-8888,17127,-32764,-745,4487,circle,1
1106,-9881,25787,-32764,-3042,7124,circle,1
6332,-8929,32764,-32608,-2221,7561,circle,1
5955,-6954,32764,-26348,-154,4279,circle,1
-437,-5723,32174,-16101,-1775,945,circle,1
577,-4976,32764,-12622,-5303,1510,circle,1
2501,-3622,32764,-8812,-4994,2022,circle,1
2054,-2617,31507,-4785,-2503,1419,circle,1
2177,-1909,27007,-2242,-1362,1080,circle,1
3606,-1344,29910,-1739,-1357,761,circle,1
4113,-1524,31613,421,-68,-334,circle,1
864,-2025,27595,4036,1246,-1812,circle,1
1050,-2376,24473,6236,1070,-1778,circle,1
537,-2547,20333,7471,835,-1714,circle,1
-94,-2088,17774,7545,441,-1566,circle,1
-583,100,16960,120,-212,-135,circle,2
-175,149,16748,238,55,-79,circle,2
-512,-123,16624,321,-349,-62,circle,2
658,628,17009,360,-814,81,circle,2
407,-112,16678,411,-963,-67,circle,2
-965,455,16013,386,-1007,-73,circle,2
-2283,199,15472,179,-906,89,circle,2
3041,-551,14092,-218,-260,476,circle,2
953,223,11344,-1562,1563,758,circle,2
5878,1316,11810,-4026,3272,986,circle,2
14709,2321,14492,-6186,2638,-1019,circle,2
19444,2595,18708,-7279,3560,-7033,circle,2
17777,-72,27576,-6562,4520,-15878,circle,2
8318,-2811,32228,-2601,1869,-23897,circle,2
4547,-5658,32764,3593,1413,-27273,circle,2
-715,-7540,32321,11198,2422,-29199,circle,2
-2667,-8488,32101,16406,749,-29481,circle,2
-9828,-10043,32537,20311,4697,-29110,circle,2
-17788,-9765,27684,25338,9114,-25624,circle,2
-21452,-7813,23421,28635,9118,-17889,circle,2
-19458,-6128,18665,30348,6012,-8429,circle,2
-15284,-4064,12415,30045,4120,-204,circle,2
-10371,-1373,9791,27173,2122,5267,circle,2
-6238,266,6404,24242,52,7916,circle,2
-5899,1669,4931,20722,2301,8800,circle,2
-8105,2441,6029,17151,2039,9529,circle,2
-8694,2602,5069,15032,3659,11661,circle,2
-6926,3076,1333,13107,5348,14636,circle,2
-3311,3723,-353,9693,6077,17054,circle,2
-760,4680,502,5703,5183,18023,circle,2
802,5039,972,2638,4127,18209,circle,2
1084,4879,-1121,219,4520,18154,circle,2
935,4436,-2654,-3506,4411,17979,circle,2
169,3422,-1306,-8264,3402,17852,circle,2
-789,1935,-1082,-12364,2712,18597,circle,2
887,278,-3707,-16591,1880,20558,circle,2
6371,-1541,-4304,-22640,1531,22716,circle,2
12815,-3417,-2307,-29476,490,23389,circle,2
19358,-5298,932,-32655,70,21440,circle,2
24630,-6398,10644,-32764,2077,16576,circle,2
27558,-8222,27742,-32764,7187,8424,circle,2
18777,-7584,32764,-32763,11718,-2444,circle,2
9350,-6898,32764,-31607,10823,-9301,circle,2
9519,-6077,32764,-25595,10725,-10340,circle,2
11161,-6206,32764,-16657,8457,-11323,circle,2
8026,-6228,32764,-8960,4367,-15329,circle,2
3794,-6431,32764,-1537,977,-18429,circle,2
3133,-7126,32764,5509,2579,-19120,circle,2
-153,-9033,32764,11585,5411,-20854,circle,2
-4410,-9203,32764,18384,7020,-22023,circle,2
-5381,-9779,32764,23501,8324,-20943,circle,2
-7521,-10433,32764,28573,7433,-19366,circle,2
-9227,-10139,29851,32344,5157,-16873,circle,2
-9429,-9174,24345,32764,3079,-13411,circle,2
-9777,-7718,19414,32764,2000,-9928,circle,2
-8263,-6404,13221,32764,4192,-6268,circle,2
-6613,-5474,7976,32764,5061,-3358,circle,2
-6534,-2636,-1331,32764,6107,-1362,circle,2
-5308,-759,-3686,31830,7948,1274,circle,2
-5077,1247,-5362,27429,4622,3621,circle,2
-3252,2764,-8255,22417,3812,5977,circle,2
-2273,4055,-11133,16740,4383,7315,circle,2
-2810,5123,-10486,10174,3516,8069,circle,2
-1443,5328,-8523,4632,2069,9208,circle,2
1682,5962,-8916,583,1097,9819,circle,2
4173,5795,-10916,-4239,2935,8947,circle,2
3575,5161,-9348,-10704,4329,6708,circle,2
919,4364,-6083,-16267,2680,4880,circle,2
-142,3370,-5078,-20051,2136,4966,circle,2
1553,2417,-4198,-24042,2007,6026,circle,2
3903,733,-1860,-28671,3578,6376,circle,2
4080,-1621,741,-32134,4482,5141,circle,2
1690,-4698,2678,-32764,4085,3299,circle,2
-3111,-8343,6737,-32764,2931,2152,circle,2
-8116,-11600,13384,-32764,-1097,3482,circle,2
-6838,-13164,25337,-32764,-5235,8535,circle,2
3228,-12804,32764,-32761,-7415,13686,circle,2
12494,-10292,32764,-29563,-4164,13219,circle,2
11037,-8810,32764,-21305,-2665,7254,circle,2
2811,-7426,32764,-16098,-2838,2082,circle,2
-387,-5252,32764,-9244,-2848,1574,circle,2
3474,-3197,28186,-3880,-1075,3414,circle,2
8503,-1350,25882,-3232,-1717,3280,circle,2
6202,-973,30420,-3449,771,740,circle,2
3162,-1189,29095,-588,1902,-1017,circle,2
3840,-1886,27427,2379,1681,-1361,circle,2
3247,-2553,22856,4741,3428,-1946,circle,2
2043,-3118,22904,5596,3168,-2443,circle,2
1713,-3355,23109,7076,1252,-2692,circle,2
1605,-3462,19228,8947,1419,-2907,circle,2
-323,-3115,12791,9379,3386,-3014,circle,2
21069,1641,7817,-7109,656,-5200,circle,3
20783,579,20810,-12302,7392,-12356,circle,3
12481,-3477,32396,-12081,13322,-20409,circle,3
4691,-3822,32304,-4230,10896,-25039,circle,3
7639,-5906,26864,2931,9678,-26328,circle,3
1819,-8389,29602,5672,17463,-28494,circle,3
-5888,-10269,30978,10380,16031,-29779,circle,3
-14077,-11400,29376,16127,15070,-28270,circle,3
-18415,-11017,24375,21330,13111,-23049,circle,3
-17677,-9662,19573,24252,9023,-15752,circle,3
-17719,-8131,17507,25062,5885,-9050,circle,3
-17573,-6588,12961,25432,4792,-2544,circle,3
-15918,-4545,7984,23991,4520,4366,circle,3
-12664,-3003,8132,20867,869,10421,circle,3
-9957,-1741,6461,18767,-1012,14721,circle,3
-6858,-574,5281,16277,-3026,17669,circle,3
-3347,867,4038,13506,-2599,19432,circle,3
-316,1933,3634,10593,1724,19865,circle,3
-219,2874,4218,7760,2398,18919,circle,3
-942,3555,2301,5658,1358,18376,circle,3
-1470,3874,2326,3188,-1313,18983,circle,3
-750,3713,2407,976,-4271,20156,circle,3
1963,4031,4004,-1102,-3181,21322,circle,3
4655,4101,4319,-2550,-2653,21601,circle,3
5329,3559,2830,-4096,-1130,20864,circle,3
4611,2874,1712,-7088,-778,19901,circle,3
4505,1335,1774,-11002,-756,19853,circle,3
6385,17,567,-14971,-832,20857,circle,3
13436,-1192,-552,-20083,-1131,22381,circle,3
23506,-2927,-2278,-25916,-178,20846,circle,3
25513,-4551,2086,-31587,3715,13857,circle,3
23673,-6426,23514,-32764,10388,5448,circle,3
15977,-6089,32764,-32545,13227,-2846,circle,3
13334,-5480,32764,-28106,9146,-7494,circle,3
14915,-5996,32764,-21193,8050,-9872,circle,3
12483,-7559,32764,-17304,10639,-13634,circle,3
9309,-8127,32764,-11176,8826,-18374,circle,3
2660,-9366,32764,-3893,4321,-22539,circle,3
-1730,-9573,32764,1860,1865,-23818,circle,3
-4570,-11295,32764,9086,6205,-22359,circle,3
-5469,-10803,32764,18746,8551,-20199,circle,3
-4407,-10541,32764,24186,8587,-18358,circle,3
-5534,-10575,32308,28323,9818,-17143,circle,3
-6835,-10449,29099,32234,9383,-15244,circle,3
-7009,-10117,23299,32764,6294,-12524,circle,3
-6922,-8423,15863,32764,649,-9988,circle,3
-7253,-6939,9995,32764,-992,-7643,circle,3
-7713,-4694,4353,32764,-226,-5113,circle,3
-6658,-2375,-73,32764,2641,-1679,circle,3
-5288,-380,-4262,31700,6165,1520,circle,3
-3623,1507,-6744,26591,7146,4134,circle,3
-2688,3107,-9177,20842,5483,5785,circle,3
-1666,4223,-10981,15115,3755,6752,circle,3
-646,5191,-11909,8987,2674,7179,circle,3
-192,5905,-11225,2268,2050,7321,circle,3
72,5847,-7204,-3979,1364,7303,circle,3
-131,5545,-5530,-7695,689,7249,circle,3
219,5315,-8496,-10388,917,7728,circle,3
2126,4597,-10175,-15724,1713,8552,circle,3
4251,3314,-7480,-22826,3965,8673,circle,3
5211,1696,-2132,-29072,5067,7605,circle,3
4470,-98,4737,-32449,5408,5557,circle,3
591,-1924,6811,-32762,5819,3409,circle,3
-3687,-3827,5364,-32756,4672,3267,circle,3
-3598,-7482,8363,-32764,1323,5516,circle,3
-807,-10049,15011,-32764,-4241,8194,circle,3
4471,-11116,25632,-32764,-8352,10302,circle,3
6501,-11078,32764,-32531,-2023,9570,circle,3
2188,-10210,32764,-28366,-430,6718,circle,3
3170,-8683,32764,-22880,-4256,6484,circle,3
11075,-6749,32764,-15444,-5710,6700,circle,3
9395,-5391,32440,-8144,-4466,3266,circle,3
6144,-4463,30297,-5253,-3922,686,circle,3
6563,-3815,32237,-4257,-1889,161,circle,3
5348,-3489,32764,-1815,1394,-696,circle,3
4725,-3286,32163,2224,3245,-1450,circle,3
3842,-3577,28543,5809,5603,-2085,circle,3
857,-3669,19583,9016,3335,-2619,circle,3
2533,-2503,15024,9193,-2697,-2088,circle,3
2929,-2559,20175,6784,-1791,-2259,circle,3
365,-426,16259,116,-269,131,circle,4
-145,36,15853,36,-166,165,circle,4
-1015,66,15451,-227,-374,282,circle,4
-1115,269,13947,-671,-472,639,circle,4
3163,21,9509,-1882,512,1254,circle,4
4479,456,9577,-5248,2393,720,circle,4
8774,670,17359,-9013,3759,-513,circle,4
12180,867,21848,-9425,5192,-3467,circle,4
20870,1729,25138,-8206,2015,-8168,circle,4
24057,-605,31758,-6086,3222,-16514,circle,4
13489,-5158,32764,138,6826,-27168,circle,4
3446,-9187,32764,9475,4847,-32432,circle,4
-7034,-13051,32764,18015,4349,-32764,circle,4
-16463,-14166,31383,26046,5055,-32276,circle,4
-23918,-13029,25687,31196,6200,-26948,circle,4
-26919,-10587,20187,32652,7921,-16870,circle,4
-23876,-8408,14416,32494,7746,-5511,circle,4
-18709,-5738,10347,30240,7145,4333,circle,4
-11531,-4075,8352,26829,4620,11191,circle,4
-8822,-1686,4560,23426,4772,14484,circle,4
-8537,-955,6031,18605,4871,16218,circle,4
-7042,-525,5697,16097,3845,18059,circle,4
-4184,404,1139,14784,4903,19994,circle,4
-2,1815,-1703,11319,5156,21134,circle,4
1397,2986,-444,6905,2815,20671,circle,4
1872,3305,-279,3773,1347,19838,circle,4
2474,3501,-2205,819,1137,19333,circle,4
4216,3644,-4808,-3614,2767,19171,circle,4
7296,3161,-6896,-9520,2717,19021,circle,4
11153,2590,-7570,-16571,2494,18082,circle,4
12891,507,-6103,-24365,4727,15318,circle,4
11884,-2320,-3971,-31060,6042,11539,circle,4
11348,-4947,4171,-32764,6593,8989,circle,4
12793,-6336,15138,-32764,7236,7305,circle,4
15050,-6135,20918,-32764,5848,4925,circle,4
18691,-6286,27143,-32764,3024,1206,circle,4
17224,-7368,32764,-31629,6278,-4461,circle,4
10903,-7561,32764,-26122,8767,-10227,circle,4
8786,-7197,32764,-17908,7823,-13404,circle,4
7815,-7014,32764,-7858,3909,-16220,circle,4
3625,-7417,32764,-34,-25,-19620,circle,4
-2025,-7851,32764,6757,-56,-22159,circle,4
-5512,-8798,32764,12632,3539,-22747,circle,4
-5131,-8991,32764,18469,4954,-22138,circle,4
-1870,-10666,32764,25030,4996,-21988,circle,4
-6077,-13850,32764,31550,9080,-23291,circle,4
-13421,-15381,29451,32764,13605,-22079,circle,4
-18427,-14252,22834,32764,11124,-16791,circle,4
-16266,-11956,15247,32764,5367,-9551,circle,4
-9019,-10289,6870,32764,7963,-2195,circle,4
-4458,-7651,-1690,32764,8732,1579,circle,4
-4853,-4410,-8428,32764,7701,2696,circle,4
-5148,-1397,-11708,32090,6442,3854,circle,4
-4686,732,-12871,26029,5779,5389,circle,4
-3381,2379,-12879,17991,4106,6861,circle,4
-1429,3467,-13258,11272,2812,7554,circle,4
-821,4253,-13356,5047,4345,7422,circle,4
-1699,4558,-10578,-1148,4485,7168,circle,4
-1697,4654,-10256,-5834,3241,7786,circle,4
-544,4004,-12379,-10557,2898,8964,circle,4
1923,3186,-13587,-16900,2589,9818,circle,4
3936,2113,-10852,-24506,2217,9712,circle,4
5868,51,-9386,-30952,3211,8777,circle,4
5902,-3530,-8125,-32761,4910,6538,circle,4
3046,-7453,-1582,-32764,4001,3957,circle,4
-533,-10693,7660,-32764,5063,2359,circle,4
-4779,-12435,16411,-32764,5212,1898,circle,4
-2175,-13586,21120,-32764,-1876,4354,circle,4
2407,-14895,28052,-32764,-2489,6794,circle,4
1600,-14043,32764,-32764,-680,5493,circle,4
-564,-10153,32764,-28382,-1773,4263,circle,4
5203,-7436,32764,-15998,-7232,4843,circle,4
9459,-5766,32764,-11844,-7207,3044,circle,4
4642,-4739,32764,-7701,-201,-755,circle,4
-1437,-4042,32764,-2760,2695,-2834,circle,4
-2686,-3497,30794,1792,2485,-2237,circle,4
-1696,-2384,21402,4964,524,-1085,circle,4
485,-1993,21737,3991,-650,-554,circle,4
580,-2147,23181,3518,876,-997,circle,4
-740,-2688,23024,4684,1764,-1605,circle,4
-1173,-3044,23189,6282,1573,-1660,circle,4
-2203,-3380,20357,8384,1762,-1375,circle,4
-1623,-2862,13146,9918,-97,-591,circle,4
570,-1820,8649,8557,-1774,-1,circle,4
1735,-1023,17606,127,-354,98,circle,5
-240,-297,16718,307,-47,-83,circle,5
-1459,-820,16175,348,174,-186,circle,5
2605,-1082,15581,278,235,35,circle,5
584,-994,14998,-128,-540,263,circle,5
448,-377,12164,-656,-1058,531,circle,5
1656,-505,8640,-2612,180,1026,circle,5
3407,-59,11347,-6265,1994,1154,circle,5
11545,91,15257,-8732,3005,266,circle,5
10593,-144,19698,-9676,6006,-3474,circle,5
12686,-426,27892,-9442,8142,-7146,circle,5
13969,-1568,29601,-5811,10242,-11542,circle,5
11407,-3832,32021,-1437,11698,-17331,circle,5
3721,-6908,32764,3864,9757,-23081,circle,5
-2212,-9584,32764,12071,8312,-25926,circle,5
-7153,-11703,31858,20724,9001,-26553,circle,5
-15579,-12962,28670,25949,11264,-25809,circle,5
-21604,-12405,24027,29798,10170,-21516,circle,5
-21738,-11084,16976,32178,7313,-14493,circle,5
-23045,-8734,15873,31410,4716,-7420,circle,5
-22395,-7752,18134,30906,1173,-130,circle,5
-15356,-7067,13817,32539,-484,6911,circle,5
-10224,-4971,4908,32746,-2460,10546,circle,5
-8968,-3001,1043,30925,1280,12335,circle,5
-7915,-1068,-2097,25968,2798,14142,circle,5
-5910,84,-2573,20401,2706,16107,circle,5
-3763,985,-3301,15520,3283,17593,circle,5
-2709,2075,-3594,10696,3796,18326,circle,5
-1823,2441,-1634,6101,3122,19130,circle,5
416,2361,-2757,3148,1876,20319,circle,5
1387,1810,-5356,-427,2520,20981,circle,5
954,919,-7443,-5819,2681,21630,circle,5
2624,-1121,-11138,-12935,4093,23638,circle,5
8561,-3302,-13193,-23024,3190,26289,circle,5
17381,-6118,-10436,-31648,1673,27227,circle,5
24499,-9725,-4425,-32764,2798,24108,circle,5
25257,-12941,5188,-32764,8187,16753,circle,5
23665,-14192,25762,-32764,14327,7906,circle,5
16288,-11207,32764,-32764,17240,-1145,circle,5
7283,-9551,32764,-32353,15002,-6690,circle,5
4357,-8419,32764,-26180,12932,-7981,circle,5
7585,-7561,32764,-16135,10231,-7640,circle,5
9403,-6571,32764,-10247,7758,-10139,circle,5
5217,-6895,32764,-4356,7325,-15182,circle,5
-774,-8508,32764,3007,7054,-19781,circle,5
-6717,-10073,32764,10271,6159,-23034,circle,5
-10307,-11024,32764,17596,6109,-23820,circle,5
-11601,-11694,32764,24951,7398,-22022,circle,5
-10848,-13097,32594,31607,9776,-19353,circle,5
-13972,-14285,29690,32764,7931,-17098,circle,5
-14213,-13731,23012,32764,-1020,-14211,circle,5
-13655,-10885,11444,32764,-2689,-10801,circle,5
-12549,-8085,5296,32764,2659,-6240,circle,5
-8975,-5614,3558,32764,4606,-1195,circle,5
-5657,-3382,666,32764,5299,2388,circle,5
-3434,-1263,-4891,32578,3460,4191,circle,5
-4369,832,-9558,29057,3247,4855,circle,5
-5435,2361,-9991,22103,3840,6201,circle,5
-2737,3562,-8280,16262,1547,8590,circle,5
1787,4208,-10806,12382,216,10084,circle,5
3397,4584,-15343,7115,538,9427,circle,5
1581,4731,-13608,-1053,220,7822,circle,5
