Comment,Designator,Footprint,LCSC
"4.7u","C1","Capacitor_SMD:C_0402_1005Metric","C368809"
"100p","C11","Capacitor_SMD:C_0402_1005Metric","C1546"
"47n","C13","Capacitor_SMD:C_0402_1005Metric","C237221"
"12p","C2,C3,C4,C6","Capacitor_SMD:C_0402_1005Metric","C1547"
"100n","C5,C10,C12,C14,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"1p","C7","Capacitor_SMD:C_0402_1005Metric","C1550"
"1.2p","C8","Capacitor_SMD:C_0402_1005Metric","C1551"
"1u","C9,C15","Capacitor_SMD:C_0402_1005Metric","C52923"
"LED","D1","LED_SMD:LED_0603_1608Metric","C2286"
"1N4148W","D2","Diode_SMD:D_SOD-323","C2128"
"4.7nH","L1","Inductor_SMD:L_0402_1005Metric","C963987"
"2.2nH","L2","Inductor_SMD:L_0402_1005Metric","C108254"
"15nH","L3","Inductor_SMD:L_0402_1005Metric","C27143"
"10uH","L4","Inductor_SMD:L_1206_3216Metric","C1051"
"2N7002","Q1","Package_TO_SOT_SMD:SOT-23","C8545"
"1k","R1","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R2,R3,R4","Resistor_SMD:R_0402_1005Metric","C60490"
"B3U-1000P","S1,S2","Snapeda:SW_B3U-1000P","C231329"
"nRF52820-QDxx","U1","Package_DFN_QFN:QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm","C2895249"
"LSM6DSL","U2","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","C126672"
"32k","Y1","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"Crystal_GND24","Y2","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","C2149195"
